"","CountryName","Year","scale20","ln_S_GDPpercapitaUS","S_RealGDPgrowth","S_GGbalanceGDP","S_NetGGdebtGDP","S_CurrentaccountbalanceGDP","S_NarrownetextdebtCARs","ISO2"
"1","Argentina",2015,1,9.35677739158522,-0.0849744569205937,-7.44769642229751,46.0667321343644,-5.47653482985973,159.182071827789,"AR"
"2","Argentina",2016,5,9.46992221559826,0.124238771982836,-7.82184218247372,57.2303752775569,-6.61667269838041,196.355672365032,"AR"
"3","Argentina",2017,7,9.30888913462337,-0.14405048389625,-10.0714114862666,59.9045219083933,-6.61815975420607,194.766108019313,"AR"
"4","Argentina",2018,6,9.43138511849069,0.133433784551689,-9.44056728723084,63.683097334064,-8.84262261856943,232.933259488371,"AR"
"5","Argentina",2019,1,9.21728186159275,-0.189039610812522,-8.86238747910996,89.6397595510629,-9.16198775905126,220.731100991375,"AR"
"6","Argentina",2020,2,9.05143973574982,-0.150082109685692,-7.83947276951991,101.166341668039,-4.03743983854479,222.756656839461,"AR"
"7","Australia",2015,20,10.7778662575213,-0.0812948442028873,-7.13834793531312,35.5931393360948,-9.36746083416624,500.472849885825,"AU"
"8","Australia",2016,20,10.6675939885114,-0.0917008136807573,-7.2632271092585,45.3436918893295,-11.2108269673805,717.235692351419,"AU"
"9","Australia",2017,20,10.5285592577712,-0.117558288479583,-8.87382458075623,61.7224808476188,-14.0090844202831,1262.41172508693,"AU"
"10","Australia",2018,20,10.5962828634838,0.0807507133228104,-10.6703773343984,84.9086236122638,-13.9911133420287,2324.66705881942,"AU"
"11","Australia",2019,20,10.6465810155891,0.0606861215028855,-12.38004696838,120.46611570293,-17.6738609115749,4627.53769069093,"AU"
"12","Australia",2020,20,10.5933955687703,-0.0439864347851187,-14.8185050959127,164.494542136293,-19.0262870282403,8699.76480035764,"AU"
"13","Austria",2015,19,10.7021829658401,0.0218936919289214,-5.8358888073672,92.271533354613,-1.47238874002738,148.636165611652,"AT"
"14","Austria",2016,19,10.5390658141046,-0.143578707339742,-4.06523681374798,92.3382345691318,-2.22645411189925,158.752158050175,"AT"
"15","Austria",2017,19,10.5546203994393,0.0214904601580403,-4.55030702367517,88.6941689680364,-1.23643530149044,149.159872492357,"AT"
"16","Austria",2018,19,10.597555861999,0.0485820842124943,-3.713952231426,84.8628408235346,-2.42498422277808,160.700092536822,"AT"
"17","Austria",2019,19,10.6731375676598,0.0821265377729926,-2.74588655564183,81.7623312987433,-1.65314875306036,139.256212227207,"AT"
"18","Austria",2020,19,10.6445540390066,-0.0254210141160976,-2.92874637734061,79.1793051551918,-2.07941498958154,153.412228157565,"AT"
