"","CountryName","Year","scale20","ln_S_GDPpercapitaUS","S_RealGDPgrowth","S_GGbalanceGDP","S_NetGGdebtGDP","S_CurrentaccountbalanceGDP","S_NarrownetextdebtCARs","ISO2"
"1","Argentina",2015,1,9.35173491624159,-0.0849543518652859,-7.43052077914537,45.8350463622449,-5.50843081656747,158.461242157059,"AR"
"2","Argentina",2016,5,9.4660770580615,0.124216397954488,-7.80375195432317,57.0374567984938,-6.63617262604922,195.8252256438,"AR"
"3","Argentina",2017,7,9.30613004584291,-0.144031900404263,-10.0557643646363,59.7589908732652,-6.62946774194799,194.409324613854,"AR"
"4","Argentina",2018,6,9.4298555559325,0.133424254356968,-9.43092622513112,63.6005127695672,-8.84787559410527,232.750105158514,"AR"
"5","Argentina",2019,1,9.21740022268687,-0.189040654695758,-8.863175294128,89.6462026425367,-9.16162693725909,220.744365686371,"AR"
"6","Argentina",2020,2,9.05391924503863,-0.150099466410644,-7.85624592993083,101.301476049951,-4.030185763898,223.026987351381,"AR"
"7","Australia",2015,20,10.7726849379228,-0.0812761966387599,-7.46902918561763,38.4967534566007,-9.82220873425499,567.012253573043,"AU"
"8","Australia",2016,20,10.6658613736454,-0.0916938145765591,-7.42995692200356,46.9223260225099,-11.4283192314732,763.715280579016,"AU"
"9","Australia",2017,20,10.5303718918088,-0.11756763199779,-8.61319220384579,59.0216027844379,-13.6859742339045,1157.17519205036,"AU"
"10","Australia",2018,20,10.6016033306722,0.080769473882315,-9.55358495823357,72.1589921290077,-12.6733911780346,1661.91247214957,"AU"
"11","Australia",2019,20,10.6555702262672,0.0607098617324792,-9.75035059834439,87.5241719800237,-14.708849188187,2383.95512634377,"AU"
"12","Australia",2020,20,10.6067359437664,-0.0440119114993661,-9.81000742894143,96.8431296557023,-13.5792608765281,2962.55461552955,"AU"
"13","Austria",2015,19,10.7020694896998,0.0218935762280414,-5.83507316997035,92.2653558103054,-1.47266456222606,148.625479928525,"AT"
"14","Austria",2016,19,10.5402150905007,-0.143586370834275,-4.07399230816238,92.3983833657064,-2.22435419563749,158.819771268315,"AT"
"15","Austria",2017,19,10.5563839109548,0.0214922158342833,-4.56372788606365,88.7795710377167,-1.23350230460386,149.193787788094,"AT"
"16","Austria",2018,19,10.5993292246698,0.0485860664826744,-3.72692394594696,84.9401314402024,-2.42176514429405,160.661559224181,"AT"
"17","Austria",2019,19,10.674551175183,0.0821318937876123,-2.75558575009642,81.8167174806378,-1.65009056963902,139.168886996736,"AT"
"18","Austria",2020,19,10.6454922607981,-0.0254221130270666,-2.93479990679218,79.211684086517,-2.07705545783374,153.325974310473,"AT"
"19","Belgium",2015,18,10.6578480321538,0.0212603677130775,-6.2471944271088,114.079805872331,-2.91288003931299,111.800482942545,"BE"
"20","Belgium",2016,18,10.500444715527,-0.140103168065288,-5.61915577894317,112.462182221283,-2.3733833042225,120.90695251556,"BE"
"21","Belgium",2017,18,10.5196412213255,0.024843400869599,-5.57541368574973,111.830276269118,-3.26083730846704,128.273630776672,"BE"
"22","Belgium",2018,18,10.5668816848672,0.0531042726771917,-3.91943917995145,108.457748839234,-2.62117341846872,128.457785330582,"BE"
"23","Belgium",2019,18,10.6324587537859,0.0713233870364755,-3.93837984602666,106.79068441457,-4.87674230547867,122.53550113117,"BE"
"24","Belgium",2020,18,10.60167954252,-0.0279432738170996,-4.6895176445231,106.253576227967,-5.04971991173449,127.198267299071,"BE"
"25","Brazil",2015,10,9.04510983557597,-0.0149349734241648,-79.2284628090311,1520.70475648611,-72.7478045456002,503216.253751487,"BR"
"26","Brazil",2016,9,8.71452917691272,-0.26770649585113,-161.135578144932,4108.25156320674,-125.516703618474,2874727.53957989,"BR"
"27","Brazil",2017,9,8.6921312108471,-0.0100154336421567,-336.5158597901,11992.8217794373,-228.717067181018,18042621.7830017,"BR"
"28","Brazil",2018,8,8.81033237734674,0.135120406309035,-702.865267893931,33978.8155769651,-414.484290234228,104835518.424876,"BR"
"29","Brazil",2019,8,8.70436741157533,-0.0912769669390111,-1324.35170748703,82192.5999969986,-689.362471535311,460129130.396898,"BR"
"30","Brazil",2020,8,8.66159797771274,-0.0364893719376981,-1956.29424782258,141260.398113289,-940.637035207891,1133849373.81777,"BR"
"31","Bulgaria",2015,10,8.80956243461993,0.0284983517838324,-8.52443339055009,31.2358670215313,-2.70607460281372,36.6835675482541,"BG"
"32","Bulgaria",2016,10,8.69438222572674,-0.103733659374756,-4.76881866471341,31.642721083058,-3.83560607423603,23.3587498205674,"BG"
"33","Bulgaria",2017,11,8.75708800239696,0.0689050528602028,-2.93475493488673,30.2461897365485,-0.773278537472706,15.1673540991378,"BG"
"34","Bulgaria",2018,11,8.85318143707745,0.103244912880465,-1.90247428502098,27.8352493910811,-0.468174812365486,9.25143389467278,"BG"
"35","Bulgaria",2019,12,8.97507880231621,0.130114229434354,-1.24214993034349,25.7118001584536,1.38946767140338,6.8039882047176,"BG"
"36","Bulgaria",2020,12,9.00135129429439,0.0259319261829002,-2.94558945859505,24.7728077511016,0.860263301251604,2.14134852415663,"BG"
"37","Canada",2015,20,10.8452694512785,-0.0334249001029564,0.135981042649774,40.0133921211891,-2.5710126641119,100.890973919353,"CA"
"38","Canada",2016,20,10.6901416316671,-0.143647051748489,-0.104778354015601,41.2668097351446,-3.71213752271175,119.511230019888,"CA"
"39","Canada",2017,20,10.6623346583603,-0.0276982262798985,-0.453065078373917,42.3491039495796,-3.36959746189736,130.718120153471,"CA"
"40","Canada",2018,20,10.7261240524296,0.0656750971968323,-0.351778314579409,38.5433276705705,-2.97768433075782,123.310832261094,"CA"
"41","Canada",2019,20,10.7492163199611,0.0232857594154329,-0.43126490438563,38.1310256875582,-2.80691968933285,109.443951203342,"CA"
"42","Canada",2020,20,10.7521951471811,0.00306149636433663,-1.00174038228981,37.6731575399159,-2.20762786256065,114.230323540496,"CA"
"43","Chile",2015,17,9.5196504839991,-0.0735815898108593,-3.6048172498373,11.6795001400728,-4.01028348391204,57.47043164488,"CL"
"44","Chile",2016,17,9.44107185616843,-0.0740185611146946,-4.24363103759269,13.934187819063,-4.73112817247963,65.7951316713845,"CL"
"45","Chile",2017,16,9.45247105372984,0.0130709724092937,-4.87025786730103,18.6455835133388,-4.05040690927479,62.7817567810947,"CL"
