"","CountryName","Year","scale20","ln_S_GDPpercapitaUS","S_RealGDPgrowth","S_GGbalanceGDP","S_NetGGdebtGDP","S_CurrentaccountbalanceGDP","S_NarrownetextdebtCARs","ISO2"
"1","Argentina",2015,1,9.34116763856271,-0.0849123827135769,-7.37140138696323,45.2817179512797,-5.55243442918623,157.104631385661,"AR"
"2","Argentina",2016,5,9.45441310179371,0.124148790809397,-7.7289765144357,56.4095650137256,-6.6746593634631,194.48821025978,"AR"
"3","Argentina",2017,7,9.2935415363338,-0.143947436665779,-9.96825388065533,59.0780260350872,-6.66329597882502,193.165870991132,"AR"
"4","Argentina",2018,6,9.41683250599126,0.13334340660231,-9.33675325923828,62.9008831545713,-8.87841177633277,231.635127831776,"AR"
"5","Argentina",2019,1,9.20424265679462,-0.188924989266162,-8.76665539582828,88.9437608267193,-9.19067144268023,219.70833260727,"AR"
"6","Argentina",2020,2,9.04063836236988,-0.150006749915191,-7.75927033684716,100.591026283765,-4.06009195714889,221.951867533369,"AR"
"7","Australia",2015,20,10.7683387205046,-0.0812605918210233,-7.79986744597933,41.4904392461239,-10.2668201490047,643.045990771138,"AU"
"8","Australia",2016,20,10.6597738742302,-0.0916692714181116,-8.11164891096706,53.5945172373664,-12.3004804508603,982.120747288331,"AU"
"9","Australia",2017,20,10.522221098747,-0.117525683897158,-9.95013772807835,73.3555187415013,-15.3147147971672,1777.46169578139,"AU"
"10","Australia",2018,20,10.5915201241426,0.0807339616556558,-11.9087270206655,99.8898189759343,-15.4109570302151,3245.05699662697,"AU"
"11","Australia",2019,20,10.6439651008077,0.0606792329721179,-13.3661624076566,133.720700192153,-18.7478845411586,5722.83830951282,"AU"
"12","Australia",2020,20,10.5937979464011,-0.0439872007408636,-14.61774121347,161.56259944995,-18.8162559465415,8395.11244134185,"AU"
"13","Austria",2015,19,10.7165266462904,0.02190836980798,-5.92096697885113,93.0301937764377,-1.4178450108487,150.38611526686,"AT"
"14","Austria",2016,19,10.5539580407347,-0.143678352250053,-4.16927163670607,93.1405821493382,-2.18718902996167,160.174118876386,"AT"
"15","Austria",2017,19,10.5682899054252,0.0215041095234427,-4.65298229045422,89.4057968614963,-1.20989242433051,149.972644556747,"AT"
"16","Austria",2018,19,10.6092618079365,0.0486084365227905,-3.80233047095238,85.4268898500913,-2.40476003078595,160.916258953534,"AT"
"17","Austria",2019,19,10.6823708601417,0.0821615902640356,-2.81287201994788,82.1603359654671,-1.63587169210441,139.024493711074,"AT"
"18","Austria",2020,19,10.6502681557577,-0.0254277148871911,-2.96753568232397,79.3953146555963,-2.06668273950743,153.030383618525,"AT"
"19","Belgium",2015,18,10.6485744094504,0.0212510569759638,-6.2750702145934,113.903549508256,-3.02467773982841,110.70305232374,"BE"
"20","Belgium",2016,18,10.4908189887474,-0.140039644458902,-5.62092815331449,112.15704798343,-2.46579156685974,119.600083035297,"BE"
"21","Belgium",2017,18,10.5099005382728,0.0248320308799246,-5.55411046938101,111.427327978322,-3.33347921355336,126.884817870622,"BE"
"22","Belgium",2018,18,10.5569414344215,0.0530795262225726,-3.88038792782595,107.984601332953,-2.67900055876845,127.06078441412,"BE"
"23","Belgium",2019,18,10.622253143541,0.0712893238052563,-3.8867480509917,106.270009135361,-4.92478987245999,121.168687408851,"BE"
"24","Belgium",2020,18,10.5908227210013,-0.0279290935686051,-4.62787357445129,105.683153171971,-5.09398889662854,125.8169042975,"BE"
"25","Brazil",2015,10,9.05635045119993,-0.0149421358557857,-47.5526731996917,710.51655765649,-47.6143621597711,125335.73294285,"BR"
"26","Brazil",2016,9,8.72331514862088,-0.267806201141747,-100.993924248078,2043.54102283187,-84.5369465832241,846807.932750246,"BR"
"27","Brazil",2017,9,8.69713476842239,-0.0100175441684453,-244.662959900608,7605.45357526925,-176.221868878117,8295456.86209644,"BR"
"28","Brazil",2018,8,8.81155604448065,0.135127329232151,-643.298520267813,30018.7376160041,-386.051383938614,85113375.1669914,"BR"
"29","Brazil",2019,8,8.70224474711792,-0.0912688924715809,-1566.10789458208,103714.46460144,-787.540826871769,678082801.605083,"BR"
"30","Brazil",2020,8,8.65626788529161,-0.0364812912042651,-3048.93734796094,260750.627776323,-1336.29684724505,3135032092.37972,"BR"
"31","Bulgaria",2015,10,8.80384919474204,0.0284907852520729,-8.48143504734922,30.932422746992,-2.7173395248892,36.2855613516099,"BG"
"32","Bulgaria",2016,10,8.68716907690386,-0.103698974375258,-4.71378692420529,31.2834003668648,-3.84788092656003,23.1222402887871,"BG"
"33","Bulgaria",2017,11,8.74655364590841,0.0688715008367189,-2.85764220112473,29.7820866285325,-0.792572689454942,15.3487014707146,"BG"
"34","Bulgaria",2018,11,8.83926881386457,0.103178661852465,-1.80778498617373,27.3018089699504,-0.499262720296599,10.1162580250976,"BG"
"35","Bulgaria",2019,12,8.9583962327064,0.130014245427616,-1.13568141785092,25.1385979523058,1.34592446777952,8.34972389423708,"BG"
"36","Bulgaria",2020,12,8.98221214467465,0.0259090741528732,-2.82644492806637,24.1400359481866,0.807419620993919,4.10299615949896,"BG"
"37","Canada",2015,20,10.8726800832845,-0.0334711871311602,0.219515512616695,39.6702937362105,-2.42901979654484,99.9550259838469,"CA"
"38","Canada",2016,20,10.718413768678,-0.143852260505281,-0.0197789477321701,40.91795135903,-3.56743981638784,118.560088649531,"CA"
"39","Canada",2017,20,10.691133014119,-0.0277385416222195,-0.36906807755868,42.0056166699166,-3.22582555130804,129.785232789374,"CA"
"40","Canada",2018,20,10.7557734158268,0.0657735435578317,-0.268195868072657,38.2027895902863,-2.83381106474145,122.389447932732,"CA"
"41","Canada",2019,20,10.7798646584428,0.0233218509902584,-0.347380935580992,37.7901887860591,-2.66189111273676,108.524227636742,"CA"
"42","Canada",2020,20,10.7839163497388,0.00306640876381954,-0.916695017553869,37.3280330526916,-2.06024314649815,113.299982744798,"CA"
"43","Chile",2015,17,9.48480586274552,-0.0734585558411539,-4.52634798793632,15.7172033232379,-5.06778492353705,66.6989386462564,"CL"
"44","Chile",2016,17,9.40428903475853,-0.0738880571889141,-5.16308918124134,17.8551706857994,-5.80784003775969,74.3640176644253,"CL"
"45","Chile",2017,16,9.41448251051233,0.0130471959436164,-5.7670017728618,22.3609539682107,-5.12293263864768,70.505886937906,"CL"
"46","Chile",2018,16,9.5025639245273,0.093331089424596,-5.74397564247362,26.1210626457001,-5.72252093437204,79.7395160703279,"CL"
"47","Chile",2019,16,9.55979767308237,0.0587468628555712,-4.59558331851961,28.1435681557087,-6.64541393894075,87.5716051406513,"CL"
"48","Chile",2020,16,9.50415626896182,-0.0552337852114784,-7.02014322078496,30.7369898525157,-6.91828810954725,90.1457892785349,"CL"
"49","China",2015,17,8.6969743032145,0.0840612851036364,-3.81155672046997,27.6153060625389,-2.67907656553469,-0.583818865580412,"CN"
"50","China",2016,17,8.73680844365908,0.0494708961554801,-5.7941945296629,79.9114714273801,-2.58740216727135,31.6216856824391,"CN"
"51","China",2017,16,8.73286794658309,0.00513382602199064,-6.65113853690411,79.5106293609897,-4.07894773739567,93.433812311644,"CN"
"52","China",2018,16,8.80596637137641,0.0834403223307627,-6.71672063788192,75.8024065408714,-4.92534659414398,192.246607478813,"CN"
"53","China",2019,16,8.91002851578561,0.114853052627569,-7.60772488247487,81.4490139406402,-6.77066090726596,303.362383733851,"CN"
"54","China",2020,16,8.93128145427658,0.0246346818573209,-8.06509052892609,84.5712165079322,-7.26326781667071,382.120577136904,"CN"
"55","Croatia",2015,9,9.34286421050762,-0.00305143591613434,-8.32259754134783,87.5548786917552,-3.85533620346655,138.375839259768,"HR"
"56","Croatia",2016,9,9.19346180157046,-0.132468362273646,-6.25165247542901,88.8747814227953,-0.738260071703272,130.469357431648,"HR"
"57","Croatia",2017,9,9.23568718617181,0.0485944455093755,-4.0080690451697,87.2548915519176,-1.77503734626167,111.755202270028,"HR"
"58","Croatia",2018,10,9.31299869453404,0.0843130856337795,-2.07668781471116,84.2710030155393,-0.19233121635996,99.5607500603493,"HR"
"59","Croatia",2019,11,9.41585582997493,0.109977634024481,-2.60686444744404,81.4145435197876,-2.32390994489942,81.8063178379128,"HR"
"60","Croatia",2020,11,9.40782516235544,-0.00777401498355847,-2.9662899867511,78.4826118010802,-3.25470281729733,74.9661375715603,"HR"
"61","Czech Republic",2015,17,9.76320942289869,-0.00717011164151784,-5.31283380900926,49.3802721318397,-3.49345689788217,48.4321113903999,"CZ"
"62","Czech Republic",2016,17,9.64973722003548,-0.10253484644716,-3.82510213519865,47.8817403742135,-3.67844118612719,44.6275018488963,"CZ"
"63","Czech Republic",2017,17,9.68637557857094,0.0423879619293183,-2.48663288153731,42.8790581520053,-2.21944879450365,36.8629469488305,"CZ"
"64","Czech Republic",2018,17,9.78071137379106,0.103404256253144,-1.63016434044608,38.6609547926629,-2.4288932157395,33.7894531114343,"CZ"
"65","Czech Republic",2019,17,9.90127981258575,0.131478655368295,-2.07196345302379,36.469898837214,-3.56769936363189,34.2898957569505,"CZ"
"66","Czech Republic",2020,17,9.90802857079905,0.00906789489059192,-2.90884104414668,34.9766749970157,-3.6874757871246,33.2747894041974,"CZ"
