"Model","Scenario","Region","X2045","X2046","X2047","X2048","X2049","X2050"
"GCAM 6.0 NGFS","Delayed transition",NA,-0.1635480495,-0.1705765338,-0.1784906701,-0.1861106252,-0.1927401917,-0.1983636784
"GCAM 6.0 NGFS","Delayed transition","ARG",-0.06113426727,-0.06189637497,-0.06237080602,-0.06225054349,-0.06148325179,-0.06020478453
"GCAM 6.0 NGFS","Delayed transition",NA,-0.1304046015,-0.1319134104,-0.1331518067,-0.1335575992,-0.1328769096,-0.1313484774
"GCAM 6.0 NGFS","Delayed transition","AUS",-0.1258150518,-0.1291113293,-0.1318763351,-0.1337520598,-0.1345267457,-0.1344063918
"GCAM 6.0 NGFS","Delayed transition","AUT",-0.08222791445,-0.08532850856,-0.08770610566,-0.08894387974,-0.0889935198,-0.08809548392
"GCAM 6.0 NGFS","Delayed transition","BEL",-0.05770971303,-0.05931096378,-0.06049967879,-0.06119972791,-0.06122534468,-0.0606098693
"GCAM 6.0 NGFS","Delayed transition","BRA",-0.1474154814,-0.1509460839,-0.1542059971,-0.1564826963,-0.1575528389,-0.1576771339
"GCAM 6.0 NGFS","Delayed transition","BGR",-0.0748543058,-0.07585574756,-0.07554673425,-0.07484892918,-0.07356248625,-0.07165898334
"GCAM 6.0 NGFS","Delayed transition","CAN",-0.00563961831,-0.00620135755,-0.00685069245,-0.00758634317,-0.00845532032,-0.00944918411
"GCAM 6.0 NGFS","Delayed transition","CHL",-0.03995196366,-0.04016123989,-0.03988678605,-0.03894413919,-0.03724371818,-0.03486283717
"GCAM 6.0 NGFS","Delayed transition","CHN",-0.1116895659,-0.1137275091,-0.1152146371,-0.1160022912,-0.1161510486,-0.1160057082
"GCAM 6.0 NGFS","Delayed transition","HRV",-0.07711546261,-0.07874485477,-0.07983337386,-0.08003641465,-0.07919340268,-0.07752903736
"GCAM 6.0 NGFS","Delayed transition","CZE",-0.05675669682,-0.05717692103,-0.05737203176,-0.05719146523,-0.05655003792,-0.05554892917
"GCAM 6.0 NGFS","Delayed transition","DNK",-0.04444167802,-0.04597275897,-0.04706691984,-0.04773760681,-0.04801913277,-0.04793029503
"GCAM 6.0 NGFS","Delayed transition",NA,-0.07421436042,-0.07450808621,-0.07439771465,-0.07365203984,-0.07219025474,-0.07017910918
"GCAM 6.0 NGFS","Delayed transition","EGY",-0.1429261291,-0.1464136501,-0.149942176,-0.1527211145,-0.1544029865,-0.1552187911
"GCAM 6.0 NGFS","Delayed transition","EST",-0.00427392513,-0.00363588,-0.00251446451,-0.00129674676,2.54839e-05,0.00143090195
"GCAM 6.0 NGFS","Delayed transition","FIN",0.01309932802,0.0133148817,0.01373755142,0.01408963033,0.01428052632,0.01438513877
"GCAM 6.0 NGFS","Delayed transition","FRA",-0.07513163334,-0.07739245763,-0.0797286375,-0.0817233804,-0.08317826818,-0.08419115248
"GCAM 6.0 NGFS","Delayed transition","DEU",-0.0664244785,-0.06863339859,-0.07065921528,-0.07213675344,-0.07290445878,-0.07303770067
"GCAM 6.0 NGFS","Delayed transition","GRC",-0.1073972401,-0.1121605452,-0.1163542026,-0.1190632153,-0.1200182665,-0.1193936893
"GCAM 6.0 NGFS","Delayed transition","HKG",-0.1195913421,-0.1231428619,-0.1267465372,-0.1298363766,-0.1321579392,-0.1339766411
"GCAM 6.0 NGFS","Delayed transition","HUN",-0.0670413563,-0.06709134907,-0.06676891189,-0.06600722578,-0.0646724119,-0.0628890718
"GCAM 6.0 NGFS","Delayed transition","IND",-0.1230639628,-0.1255226801,-0.1277770482,-0.1290685052,-0.1291137087,-0.1281634069
"GCAM 6.0 NGFS","Delayed transition","IDN",-0.1132322301,-0.1142920318,-0.1147543781,-0.1141643787,-0.1124143945,-0.1097854242
"GCAM 6.0 NGFS","Delayed transition","IRL",-0.04605158565,-0.04740255836,-0.04850053761,-0.04917137456,-0.04943423849,-0.04941185605
"GCAM 6.0 NGFS","Delayed transition","ITA",-0.09234261185,-0.09367202231,-0.09452570143,-0.09453020002,-0.09365718751,-0.09214978833
"GCAM 6.0 NGFS","Delayed transition","JPN",-0.088916289,-0.09085208357,-0.09229336576,-0.09271624502,-0.09206797924,-0.09065757128
"GCAM 6.0 NGFS","Delayed transition",NA,-0.1232473061,-0.1262923657,-0.1293163836,-0.1316858633,-0.1331283269,-0.1338453684
"GCAM 6.0 NGFS","Delayed transition","LVA",-0.01363847356,-0.01359386036,-0.01307089073,-0.01242945442,-0.01167259561,-0.01081326449
"GCAM 6.0 NGFS","Delayed transition","LTU",-0.01968909853,-0.01991499492,-0.01926041011,-0.01842925648,-0.01737492818,-0.01606560097
"GCAM 6.0 NGFS","Delayed transition","MYS",-0.1269763756,-0.1300681805,-0.1327467694,-0.1345459281,-0.1352121224,-0.1349615548
"GCAM 6.0 NGFS","Delayed transition","MEX",-0.125193837,-0.1276843516,-0.1299007658,-0.1311781164,-0.1312861091,-0.1304757594
"GCAM 6.0 NGFS","Delayed transition",NA,-0.1728473464,-0.1783908745,-0.184397091,-0.1898496695,-0.1942421605,-0.197713997
"GCAM 6.0 NGFS","Delayed transition","NLD",-0.04921613152,-0.05006415493,-0.05064924449,-0.05095582443,-0.0508074831,-0.05018910901
"GCAM 6.0 NGFS","Delayed transition","NZL",-0.06385455369,-0.06484608586,-0.06506554638,-0.06457668455,-0.06346585211,-0.06187865745
"GCAM 6.0 NGFS","Delayed transition","NOR",-0.01598361954,-0.01689317589,-0.01749467989,-0.01750253548,-0.01730243725,-0.01698309183
"GCAM 6.0 NGFS","Delayed transition","POL",-0.04377611423,-0.04323764517,-0.04251864387,-0.04148456829,-0.04002056677,-0.03822127719
"GCAM 6.0 NGFS","Delayed transition","PRT",-0.09291202347,-0.09532383092,-0.09727713825,-0.09845497248,-0.09866378467,-0.09809542318
"GCAM 6.0 NGFS","Delayed transition","ROU",-0.09323013207,-0.09779093089,-0.1020402005,-0.1058388016,-0.1089759556,-0.1115272933
"GCAM 6.0 NGFS","Delayed transition","RUS",-0.05659485324,-0.06137676745,-0.06728171366,-0.07342057497,-0.07956488224,-0.08561712856
"GCAM 6.0 NGFS","Delayed transition","SGP",-0.1098518314,-0.1117060246,-0.1128769859,-0.1139564815,-0.114623762,-0.1149141007
"GCAM 6.0 NGFS","Delayed transition","SVK",-0.06349048889,-0.06531917815,-0.06650713803,-0.06706173495,-0.06681837189,-0.06587805771
"GCAM 6.0 NGFS","Delayed transition","SVN",-0.06985112566,-0.07059300685,-0.07050508387,-0.06981664195,-0.06859894464,-0.06702997278
"GCAM 6.0 NGFS","Delayed transition","ZAF",-0.1350765314,-0.1389966882,-0.1430001589,-0.1460651489,-0.1475408583,-0.1475629044
"GCAM 6.0 NGFS","Delayed transition","KOR",-0.07819389432,-0.07913711979,-0.07949556938,-0.07897246469,-0.0776393088,-0.07579412755
"GCAM 6.0 NGFS","Delayed transition","ESP",-0.1027765785,-0.1052032328,-0.107025127,-0.1079895192,-0.1079802184,-0.1071924348
"GCAM 6.0 NGFS","Delayed transition","SWE",-0.0215615644,-0.02273790267,-0.02375508483,-0.02447652092,-0.02499724675,-0.02524914621
"GCAM 6.0 NGFS","Delayed transition","CHE",-0.05180310891,-0.05211580258,-0.0522222246,-0.05164304791,-0.05043183256,-0.04885582089
"GCAM 6.0 NGFS","Delayed transition","TWN",-0.09533183783,-0.09718243919,-0.09948177967,-0.1010216039,-0.1013960293,-0.1009713427
"GCAM 6.0 NGFS","Delayed transition","TUR",-0.09295163918,-0.09513937805,-0.09714576911,-0.09851862362,-0.09907948367,-0.09900947673
"GCAM 6.0 NGFS","Delayed transition","GBR",-0.04831200515,-0.04890475074,-0.04909965875,-0.04885823905,-0.04824701101,-0.04754603738
"GCAM 6.0 NGFS","Delayed transition","USA",-0.09070449632,-0.09257706949,-0.09408432059,-0.0949094325,-0.09488588309,-0.09416182605
"GCAM 6.0 NGFS","Delayed transition","VNM",-0.1238680693,-0.1260563521,-0.127980738,-0.1292018645,-0.129453953,-0.128968958
"GCAM 6.0 NGFS","Fragmented World",NA,-0.1336003251,-0.1395959116,-0.145532746,-0.1510416982,-0.1558457655,-0.1597276795
"GCAM 6.0 NGFS","Fragmented World","ARG",-0.06664606753,-0.06884952278,-0.07084364141,-0.07252176954,-0.07383404144,-0.07471185433
"GCAM 6.0 NGFS","Fragmented World",NA,-0.1225800357,-0.1272539447,-0.131646596,-0.1355474851,-0.1387175093,-0.1409948326
"GCAM 6.0 NGFS","Fragmented World","AUS",-0.124468818,-0.1300368371,-0.135302945,-0.1400426964,-0.1440981128,-0.1473077601
"GCAM 6.0 NGFS","Fragmented World","AUT",-0.07560060176,-0.07873497162,-0.08143994437,-0.08368505579,-0.08551622632,-0.08670686143
"GCAM 6.0 NGFS","Fragmented World","BEL",-0.06053163103,-0.06332530714,-0.06608293538,-0.06860722126,-0.07072903825,-0.07241104559
"GCAM 6.0 NGFS","Fragmented World","BRA",-0.1449872932,-0.1505380912,-0.1557577439,-0.1603463982,-0.1641572846,-0.1669874832
"GCAM 6.0 NGFS","Fragmented World","BGR",-0.08112958607,-0.08439208744,-0.08723079765,-0.08963840707,-0.09148868663,-0.0926768351
"GCAM 6.0 NGFS","Fragmented World","CAN",0.00711536199,0.0076011524,0.00817211012,0.00862552022,0.00887256394,0.00899910802
"GCAM 6.0 NGFS","Fragmented World","CHL",-0.04679614143,-0.04880899618,-0.05086570508,-0.05282576818,-0.0545320161,-0.0558492455
"GCAM 6.0 NGFS","Fragmented World","CHN",-0.1136168545,-0.118052791,-0.1220503795,-0.1254572676,-0.1281990564,-0.1301689104
"GCAM 6.0 NGFS","Fragmented World","HRV",-0.08495053762,-0.0887295549,-0.09213207831,-0.09494092528,-0.09703351826,-0.09827752402
"GCAM 6.0 NGFS","Fragmented World","CZE",-0.06457548309,-0.06671388317,-0.06873985257,-0.07061751725,-0.07225044169,-0.0736066031
"GCAM 6.0 NGFS","Fragmented World","DNK",-0.04582531602,-0.04810734535,-0.05013173391,-0.05205527233,-0.05382786475,-0.05527141194
"GCAM 6.0 NGFS","Fragmented World",NA,-0.0549446445,-0.05691484235,-0.05876845696,-0.06036494354,-0.0616219927,-0.06247011756
"GCAM 6.0 NGFS","Fragmented World","EGY",-0.1386052498,-0.1440804669,-0.1492942445,-0.1539417574,-0.1577950076,-0.1606428442
"GCAM 6.0 NGFS","Fragmented World","EST",-0.00817698733,-0.00828505683,-0.00802089949,-0.00768231858,-0.00730224725,-0.00689202005
"GCAM 6.0 NGFS","Fragmented World","FIN",0.01177260255,0.01219333826,0.01263433723,0.01295733948,0.01315271981,0.01320408273
"GCAM 6.0 NGFS","Fragmented World","FRA",-0.07728875502,-0.08075573449,-0.0841897442,-0.08740506585,-0.09027475165,-0.09266650707
