"X","country","ISO2","actual","est","est_lower","est_upper","cd_actual","pd_actual","cd_est","pd_est","cd_est_95","pd_est_95","rating_delta","cd_delta","pd_delta","rating_delta_95","cd_delta_95","pd_delta_95","model","scenario_","year"
2,"Australia","AU",20,16.6516277777778,15.7152981476207,17.5879574079348,0.528295218534761,0,0.804213555169198,2.95113680072859,0.861676944122433,3.00673579653855,-3.34837222222222,0.275918336634437,2.95113680072859,-4.28470185237926,0.333381725587673,3.00673579653855,"GCAM 6.0 NGFS","Below 2","30"
3,"Austria","AT",19,16.5183097222222,15.4284137114276,17.6082057330168,0.640457129391164,1.00324021516269,0.812040004002885,2.97395490045599,0.88135219025272,2.98960393995748,-2.48169027777778,0.171582874611721,1.9707146852933,-3.57158628857238,0.240895060861555,1.98636372479478,"GCAM 6.0 NGFS","Below 2","30"
4,"Belgium","BE",18,14.9550208333333,13.7218227297405,16.1882189369262,0.720901920982245,2.2670672729256,0.917383676949703,2.94972894089435,1.04200820469936,2.93901692866797,-3.04497916666667,0.196481755967458,0.682661667968745,-4.27817727025953,0.321106283717119,0.671949655742367,"GCAM 6.0 NGFS","Below 2","30"
5,"Brazil","BR",8.66666666666667,5.18188194444444,4.34014290343229,6.0236209854566,2.52551799534407,12.5522695799178,5.14613470395053,39.3831826549692,6.05543128076858,49.6478827777832,-3.48478472222222,2.62061670860646,26.8309130750514,-4.32652376323438,3.52991328542451,37.0956131978655,"GCAM 6.0 NGFS","Below 2","30"
6,"Bulgaria","BG",11,10.378475,9.53292963276149,11.2240203672385,1.58708246480164,5.22159971540106,1.78614647635037,6.55300832573796,2.11377275557807,9.04739380446674,-0.621525,0.199064011548725,1.3314086103369,-1.46707036723851,0.52669029077643,3.82579408906567,"GCAM 6.0 NGFS","Below 2","30"
7,"Canada","CA",20,19.3332722222222,18.4383904361662,20.2281540082783,0.528295218534761,0,0.607300647475137,0.393168450472615,0.688631476162377,1.80921338793536,-0.66672777777778,0.0790054289403763,0.393168450472615,-1.56160956383383,0.160336257627616,1.80921338793536,"GCAM 6.0 NGFS","Below 2","30"
8,"Chile","CL",16.3333333333333,9.90187916666667,8.84788737362707,10.9558709597063,0.823008518368437,2.99602256341964,1.96230503567933,7.85474065136694,2.432562287929,11.7322828218886,-6.43145416666666,1.1392965173109,4.8587180879473,-7.48544595970626,1.60955376956056,8.73626025846891,"GCAM 6.0 NGFS","Below 2","30"
9,"China","CN",16.3333333333333,8.9305,8.08585419513152,9.77514580486848,0.823008518368437,2.99602256341964,2.3914151061492,11.3742162254716,2.84926705367107,15.5142729821154,-7.40283333333333,1.56840658778076,8.37819366205197,-8.24747913820181,2.02625853530263,12.5182504186957,"GCAM 6.0 NGFS","Below 2","30"
10,"Croatia","HR",9.83333333333333,7.09336388888889,6.18139683933751,8.00533093844027,1.98942265581657,8.06368173992337,3.50007722773925,21.8590462602845,4.21683252156041,29.2821177534787,-2.73996944444445,1.51065457192267,13.7953645203612,-3.65193649399583,2.22740986574384,21.2184360135554,"GCAM 6.0 NGFS","Below 2","30"
11,"Czech Republic","CZ",17,13.6136416666667,12.7665246153556,14.4607587179777,0.783809906904573,2.85987858509344,1.05568420602601,2.95460849276628,1.18225986617402,3.23686450926273,-3.38635833333333,0.271874299121436,0.0947299076728427,-4.23347538464438,0.398449959269442,0.37698592416929,"GCAM 6.0 NGFS","Below 2","30"
