Country,Rating,Damage_pcofvalue,insurance_coverage,GDP_per_capita,NGGD,GGB,NNED,CAB
Australia,AAA,0.001300,70%,-0.1,0.56,-0.1,1.2,-0.1
Austria,AA+,0.005200,35%,-0.3,3.13,-0.6,5.5,-0.8
Bangladesh,BB-,0.011200,5%,-1.4,1.31,-0.3,10.7,-0.5
Canada,AAA,0.006600,25%,-0.5,3.52,-0.7,7.9,-0.7
Chile,AA-,0.053800,30%,-7.9,18.21,-4.1,67.1,-4.9
China,AA-,0.005500,5%,-0.9,1.41,-0.3,7.7,-0.5
Colombia,BBB,0.012900,20%,-1.9,4.61,-1,24.5,-1
Costa Rica,BB,0.037100,5%,-6.5,14.13,-2.9,53.3,-3.4
Dominican Republic,BB-,0.020800,5%,-3.2,6.28,-1.3,27.7,-1.5
Ecuador,B+,0.022400,5%,-3.7,8.25,-1.8,38.8,-1.7
France,AA,0.000300,80%,0,0.15,0,1.4,-0.1
Germany,AAA,0.001200,25%,-0.1,0.67,-0.1,2.3,-0.3
Greece,CCC+,0.007500,5%,-0.7,5.79,-1,19.6,-0.9
India,BBB-,0.003400,5%,-0.5,0.7,-0.1,5.6,-0.3
Indonesia,BB+,0.013900,5%,-2.1,2.68,-0.6,23.6,-0.9
Israel,A+,0.017800,50%,-1.6,7.69,-1.6,5.1,-1
Italy,BBB-,0.010300,20%,-0.8,7.28,-1.3,14.1,-1
Japan,AA-,0.038600,15%,-5.2,27.62,-4.9,25.5,-2
Korea,A+,0.001000,5%,-0.1,0.39,-0.1,1.9,-0.2
Mexico,BBB+,0.012700,15%,-2.2,4.18,-0.9,17.6,-1.4
Morocco,BBB-,0.003600,10%,-0.5,1.08,-0.2,4.7,-0.4
New Zealand,AA,0.015900,70%,-1.3,6.69,-1.4,4.5,-1.1
Pakistan,B-,0.013000,5%,-1.6,2.82,-0.6,16.7,-0.6
Panama,BBB,0.032400,15%,-5.2,8.34,-1.9,34.7,-3.5
Peru,BBB+,0.036300,5%,-6,12.14,-2.7,67.1,-2.7
Philippines,BBB,0.038800,5%,-5.7,8.48,-1.8,32.7,-2.4
Portugal,BB,0.012100,20%,-0.9,7.68,-1.4,19.6,-1.6
South Africa,BBB-,0.003200,15%,-0.5,1.11,-0.2,5.8,-0.4
Switzerland,AAA,0.006000,15%,-0.8,3.11,-0.6,3.7,-0.7
Taiwan,AA-,0.044300,15%,-6.7,16.93,-3.4,18.8,-4.8
