DATE,BAMLH0A3HYC,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLC0A3CA,BAMLH0A2HYB,BAMLC0A2CAA,BAMLC0A1CAAA
1996-12-31,7.38,0.83,1.95,0.57,3.61,0.42,0.30
1997-01-01,.,.,.,.,.,.,.
1997-01-02,7.28,0.83,1.92,0.58,3.51,0.42,0.26
1997-01-03,7.37,0.83,1.94,0.57,3.54,0.43,0.31
1997-01-06,7.36,0.85,1.94,0.58,3.55,0.43,0.26
1997-01-07,7.36,0.84,1.93,0.58,3.56,0.43,0.28
1997-01-08,7.34,0.83,1.91,0.57,3.53,0.42,0.28
1997-01-09,7.47,0.85,1.96,0.59,3.58,0.45,0.33
1997-01-10,7.47,0.95,2.02,0.70,3.60,0.56,0.42
1997-01-13,7.40,0.83,1.90,0.58,3.48,0.43,0.30
1997-01-14,7.37,0.83,1.92,0.58,3.55,0.44,0.32
1997-01-15,7.30,0.83,1.91,0.58,3.53,0.43,0.32
1997-01-16,7.22,0.82,1.88,0.57,3.48,0.43,0.29
1997-01-17,7.24,0.82,1.88,0.57,3.50,0.43,0.28
1997-01-20,7.19,0.82,1.88,0.57,3.49,0.43,0.28
1997-01-21,7.23,0.83,1.90,0.58,3.51,0.43,0.32
1997-01-22,7.15,0.82,1.86,0.57,3.44,0.42,0.27
1997-01-23,7.16,0.82,1.84,0.57,3.41,0.42,0.29
1997-01-24,7.08,0.82,1.82,0.57,3.37,0.43,0.31
1997-01-27,7.00,0.82,1.79,0.57,3.32,0.42,0.31
1997-01-28,6.95,0.82,1.81,0.57,3.37,0.42,0.30
1997-01-29,7.09,0.82,1.81,0.57,3.39,0.43,0.30
1997-01-30,7.14,0.82,1.82,0.57,3.43,0.43,0.29
1997-01-31,7.30,0.82,1.86,0.57,3.52,0.43,0.32
1997-02-03,7.30,0.82,1.87,0.57,3.58,0.44,0.33
1997-02-04,7.27,0.82,1.88,0.57,3.59,0.44,0.33
1997-02-05,7.22,0.82,1.85,0.57,3.54,0.43,0.33
1997-02-06,7.19,0.82,1.84,0.57,3.53,0.43,0.32
1997-02-07,7.20,0.82,1.86,0.58,3.58,0.44,0.33
1997-02-10,7.12,0.81,1.84,0.56,3.55,0.43,0.32
