"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1488517394,-0.1536819329,-0.1584598388,-0.162947124,-0.1669286409,-0.1699472726
"ARG",-0.05021107693,-0.05094268479,-0.05141751672,-0.05156432415,-0.05134977707,-0.05057100272
NA,-0.09533105089,-0.09750169854,-0.09914681227,-0.1002174416,-0.1007491853,-0.1004534841
"AUS",-0.1088274157,-0.1115363457,-0.1137665627,-0.115501838,-0.1167263023,-0.1171323751
"AUT",-0.07259506581,-0.07468806113,-0.07651572576,-0.07784461817,-0.07866718597,-0.07882292157
"BEL",-0.04457283749,-0.04557161744,-0.04627613912,-0.04665729985,-0.04672806067,-0.0463058468
"BRA",-0.1277790228,-0.1313549477,-0.1344631371,-0.1368949741,-0.1386095567,-0.139215435
"BGR",-0.06080053168,-0.06211485523,-0.0625728612,-0.06286326342,-0.06301050099,-0.06266657854
"CAN",0.01778085627,0.0179047761,0.01793868586,0.01790176422,0.01774526027,0.0174388331
"CHL",-0.02861102506,-0.02868675529,-0.02844386826,-0.02788713897,-0.02699927205,-0.02558164603
"CHN",-0.09135709817,-0.09330653,-0.09495734575,-0.09629266733,-0.09727905713,-0.09758611205
"HRV",-0.06019125377,-0.06155445483,-0.0626658149,-0.06349881137,-0.06404297141,-0.06404666599
"CZE",-0.04428985953,-0.04487729236,-0.04522248361,-0.04536048716,-0.04534795156,-0.04503001598
"DNK",-0.03766386171,-0.03895002388,-0.04008758045,-0.04101397595,-0.0417037176,-0.04202012749
NA,-0.04863188572,-0.04967721215,-0.05048177321,-0.05086873516,-0.05084861755,-0.0503130992
"EGY",-0.1229773666,-0.1262625911,-0.129181648,-0.1315833899,-0.1333822695,-0.1342094251
"EST",-0.00121773198,-0.00074175524,0.00039307684,0.00135121118,0.00205209338,0.00257922636
"FIN",0.0150620003,0.0154679762,0.01595981008,0.01643109597,0.0168107435,0.01712255665
"FRA",-0.0626565268,-0.06437208019,-0.06587955832,-0.06710383074,-0.06802037567,-0.06839573056
"DEU",-0.0511466321,-0.05221148495,-0.05301892496,-0.05353489388,-0.05375460679,-0.05352107093
"GRC",-0.07886238002,-0.07982709095,-0.08031000821,-0.08013413057,-0.07928870564,-0.07755180634
"HKG",-0.1063580475,-0.1102539289,-0.1139074844,-0.1172744749,-0.1203399414,-0.1227634229
"HUN",-0.04789295172,-0.04874698662,-0.0492945576,-0.04957026352,-0.04963411622,-0.04923411982
"IND",-0.1040681177,-0.106461369,-0.1083360377,-0.1096143387,-0.1102620211,-0.1099148918
"IDN",-0.09233993818,-0.09396493448,-0.09507609149,-0.09560586097,-0.09551125897,-0.09443620752
"IRL",-0.041044228,-0.04191928371,-0.04268543342,-0.04325300759,-0.0435965538,-0.04359166352
"ITA",-0.07175831875,-0.07263357708,-0.07309968604,-0.07304356417,-0.07253242863,-0.07144977869
"JPN",-0.06218787553,-0.06312129732,-0.06368399691,-0.06381750748,-0.06353591954,-0.06261509361
NA,-0.1032739705,-0.1062531347,-0.1088798888,-0.1109758941,-0.1125549001,-0.1133648022
"LVA",-0.00742413103,-0.00774343624,-0.00789156659,-0.00792318625,-0.00791880849,-0.00783834683
"LTU",-0.01403000585,-0.01442261044,-0.01436636822,-0.01436008263,-0.01440190112,-0.01433976773
"MYS",-0.06586697878,-0.06590786506,-0.06549331485,-0.06460355748,-0.06322992508,-0.06102346383
