"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1635480495,-0.1705765338,-0.1784906701,-0.1861106252,-0.1927401917,-0.1983636784
"ARG",-0.06113426727,-0.06189637497,-0.06237080602,-0.06225054349,-0.06148325179,-0.06020478453
NA,-0.1304046015,-0.1319134104,-0.1331518067,-0.1335575992,-0.1328769096,-0.1313484774
"AUS",-0.1258150518,-0.1291113293,-0.1318763351,-0.1337520598,-0.1345267457,-0.1344063918
"AUT",-0.08222791445,-0.08532850856,-0.08770610566,-0.08894387974,-0.0889935198,-0.08809548392
"BEL",-0.05770971303,-0.05931096378,-0.06049967879,-0.06119972791,-0.06122534468,-0.0606098693
"BRA",-0.1474154814,-0.1509460839,-0.1542059971,-0.1564826963,-0.1575528389,-0.1576771339
"BGR",-0.0748543058,-0.07585574756,-0.07554673425,-0.07484892918,-0.07356248625,-0.07165898334
"CAN",-0.00563961831,-0.00620135755,-0.00685069245,-0.00758634317,-0.00845532032,-0.00944918411
"CHL",-0.03995196366,-0.04016123989,-0.03988678605,-0.03894413919,-0.03724371818,-0.03486283717
"CHN",-0.1116895659,-0.1137275091,-0.1152146371,-0.1160022912,-0.1161510486,-0.1160057082
"HRV",-0.07711546261,-0.07874485477,-0.07983337386,-0.08003641465,-0.07919340268,-0.07752903736
"CZE",-0.05675669682,-0.05717692103,-0.05737203176,-0.05719146523,-0.05655003792,-0.05554892917
"DNK",-0.04444167802,-0.04597275897,-0.04706691984,-0.04773760681,-0.04801913277,-0.04793029503
NA,-0.07421436042,-0.07450808621,-0.07439771465,-0.07365203984,-0.07219025474,-0.07017910918
"EGY",-0.1429261291,-0.1464136501,-0.149942176,-0.1527211145,-0.1544029865,-0.1552187911
"EST",-0.00427392513,-0.00363588,-0.00251446451,-0.00129674676,2.54839e-05,0.00143090195
"FIN",0.01309932802,0.0133148817,0.01373755142,0.01408963033,0.01428052632,0.01438513877
"FRA",-0.07513163334,-0.07739245763,-0.0797286375,-0.0817233804,-0.08317826818,-0.08419115248
"DEU",-0.0664244785,-0.06863339859,-0.07065921528,-0.07213675344,-0.07290445878,-0.07303770067
"GRC",-0.1073972401,-0.1121605452,-0.1163542026,-0.1190632153,-0.1200182665,-0.1193936893
"HKG",-0.1195913421,-0.1231428619,-0.1267465372,-0.1298363766,-0.1321579392,-0.1339766411
"HUN",-0.0670413563,-0.06709134907,-0.06676891189,-0.06600722578,-0.0646724119,-0.0628890718
"IND",-0.1230639628,-0.1255226801,-0.1277770482,-0.1290685052,-0.1291137087,-0.1281634069
"IDN",-0.1132322301,-0.1142920318,-0.1147543781,-0.1141643787,-0.1124143945,-0.1097854242
"IRL",-0.04605158565,-0.04740255836,-0.04850053761,-0.04917137456,-0.04943423849,-0.04941185605
"ITA",-0.09234261185,-0.09367202231,-0.09452570143,-0.09453020002,-0.09365718751,-0.09214978833
"JPN",-0.088916289,-0.09085208357,-0.09229336576,-0.09271624502,-0.09206797924,-0.09065757128
NA,-0.1232473061,-0.1262923657,-0.1293163836,-0.1316858633,-0.1331283269,-0.1338453684
"LVA",-0.01363847356,-0.01359386036,-0.01307089073,-0.01242945442,-0.01167259561,-0.01081326449
"LTU",-0.01968909853,-0.01991499492,-0.01926041011,-0.01842925648,-0.01737492818,-0.01606560097
"MYS",-0.1269763756,-0.1300681805,-0.1327467694,-0.1345459281,-0.1352121224,-0.1349615548
"MEX",-0.125193837,-0.1276843516,-0.1299007658,-0.1311781164,-0.1312861091,-0.1304757594
NA,-0.1728473464,-0.1783908745,-0.184397091,-0.1898496695,-0.1942421605,-0.197713997
"NLD",-0.04921613152,-0.05006415493,-0.05064924449,-0.05095582443,-0.0508074831,-0.05018910901
"NZL",-0.06385455369,-0.06484608586,-0.06506554638,-0.06457668455,-0.06346585211,-0.06187865745
