"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1336003251,-0.1395959116,-0.145532746,-0.1510416982,-0.1558457655,-0.1597276795
"ARG",-0.06664606753,-0.06884952278,-0.07084364141,-0.07252176954,-0.07383404144,-0.07471185433
NA,-0.1225800357,-0.1272539447,-0.131646596,-0.1355474851,-0.1387175093,-0.1409948326
"AUS",-0.124468818,-0.1300368371,-0.135302945,-0.1400426964,-0.1440981128,-0.1473077601
"AUT",-0.07560060176,-0.07873497162,-0.08143994437,-0.08368505579,-0.08551622632,-0.08670686143
"BEL",-0.06053163103,-0.06332530714,-0.06608293538,-0.06860722126,-0.07072903825,-0.07241104559
"BRA",-0.1449872932,-0.1505380912,-0.1557577439,-0.1603463982,-0.1641572846,-0.1669874832
"BGR",-0.08112958607,-0.08439208744,-0.08723079765,-0.08963840707,-0.09148868663,-0.0926768351
"CAN",0.00711536199,0.0076011524,0.00817211012,0.00862552022,0.00887256394,0.00899910802
"CHL",-0.04679614143,-0.04880899618,-0.05086570508,-0.05282576818,-0.0545320161,-0.0558492455
"CHN",-0.1136168545,-0.118052791,-0.1220503795,-0.1254572676,-0.1281990564,-0.1301689104
"HRV",-0.08495053762,-0.0887295549,-0.09213207831,-0.09494092528,-0.09703351826,-0.09827752402
"CZE",-0.06457548309,-0.06671388317,-0.06873985257,-0.07061751725,-0.07225044169,-0.0736066031
"DNK",-0.04582531602,-0.04810734535,-0.05013173391,-0.05205527233,-0.05382786475,-0.05527141194
NA,-0.0549446445,-0.05691484235,-0.05876845696,-0.06036494354,-0.0616219927,-0.06247011756
"EGY",-0.1386052498,-0.1440804669,-0.1492942445,-0.1539417574,-0.1577950076,-0.1606428442
"EST",-0.00817698733,-0.00828505683,-0.00802089949,-0.00768231858,-0.00730224725,-0.00689202005
"FIN",0.01177260255,0.01219333826,0.01263433723,0.01295733948,0.01315271981,0.01320408273
"FRA",-0.07728875502,-0.08075573449,-0.0841897442,-0.08740506585,-0.09027475165,-0.09266650707
"DEU",-0.06645798942,-0.06932870234,-0.07208227145,-0.07456576728,-0.07668665667,-0.07827571628
"GRC",-0.1031806362,-0.1084026444,-0.1131733473,-0.1173082038,-0.1206635129,-0.1230522766
"HKG",-0.1251064413,-0.1308054993,-0.1361645042,-0.1409322674,-0.1449562985,-0.1480380058
"HUN",-0.07976724883,-0.08241732572,-0.08491282498,-0.08722686742,-0.08916980115,-0.09052705332
"IND",-0.12968921,-0.1347277226,-0.1394719299,-0.1435745835,-0.1469553247,-0.1494274388
"IDN",-0.1239151754,-0.1282428482,-0.1322682251,-0.1357497369,-0.1385313692,-0.1404463668
"IRL",-0.04559920325,-0.04743059369,-0.0490923649,-0.05056310059,-0.05181477212,-0.05279453773
"ITA",-0.0954960177,-0.09887333271,-0.1018919883,-0.1045004026,-0.1065963029,-0.1080679586
"JPN",-0.08982087505,-0.09345722635,-0.09690714055,-0.09995603885,-0.1024854543,-0.1043598915
NA,-0.1167514377,-0.1213961881,-0.1258010232,-0.1297002478,-0.1329548371,-0.1354301945
