"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1338122398,-0.13928732,-0.1452874158,-0.1506614996,-0.155126143,-0.1587645984
"ARG",-0.06703825679,-0.06942355343,-0.07196053253,-0.07406148849,-0.07567929385,-0.0768368055
NA,-0.1274147334,-0.1322518468,-0.1377113225,-0.1426621072,-0.1467490273,-0.1499261913
"AUS",-0.1166789703,-0.121519819,-0.1269003937,-0.1317146638,-0.1357446284,-0.1390306585
"AUT",-0.07162194028,-0.07462802217,-0.07776060223,-0.08066061688,-0.08310253301,-0.08492717662
"BEL",-0.06271384312,-0.06549496402,-0.06859814611,-0.07134078387,-0.07365360808,-0.07551783847
"BRA",-0.1450794214,-0.1506559104,-0.156755629,-0.1621877598,-0.1666874654,-0.1702466499
"BGR",-0.07716085184,-0.08036860036,-0.08392854385,-0.08707641115,-0.08965861582,-0.09171220176
"CAN",0.01372756639,0.014903519,0.01617439272,0.01746696557,0.01853477401,0.01944839313
"CHL",-0.05614459276,-0.05842423065,-0.06092128883,-0.06309019474,-0.06478817824,-0.06607316022
"CHN",-0.1061625792,-0.1104588461,-0.115200473,-0.1194659386,-0.123044655,-0.1259895063
"HRV",-0.08344043311,-0.08711266037,-0.09124390008,-0.09498024835,-0.0980424628,-0.100502981
"CZE",-0.06323351819,-0.06558410565,-0.06820382403,-0.07057920651,-0.07279969694,-0.07464407658
"DNK",-0.0464507317,-0.04850916802,-0.0505504058,-0.05249813231,-0.05420209018,-0.05553740183
NA,-0.06330837309,-0.06548615656,-0.06788149669,-0.06994894286,-0.07159929398,-0.07285242087
"EGY",-0.1372030375,-0.1428159269,-0.149027837,-0.1546060036,-0.1592295205,-0.1629568921
"EST",-0.00478556118,-0.00489297256,-0.00495002798,-0.00501537425,-0.00507046234,-0.00511143423
"FIN",0.01176266553,0.01242333346,0.01317121518,0.01396863088,0.0146525204,0.01517813384
"FRA",-0.07885289705,-0.08233053908,-0.08616158492,-0.0896111605,-0.09252209753,-0.09493221133
"DEU",-0.06484553561,-0.06746910307,-0.07038412892,-0.07303448489,-0.07523285668,-0.07695712161
"GRC",-0.1008257749,-0.1048361227,-0.109088713,-0.1129317406,-0.1161708255,-0.1187679995
"HKG",-0.1261164788,-0.1315134607,-0.1373919624,-0.1426686607,-0.1471353313,-0.1507769375
"HUN",-0.07755713292,-0.08066459985,-0.08414874296,-0.08742145358,-0.09019024302,-0.09241623305
"IND",-0.1260837426,-0.1314094892,-0.1372648017,-0.1424355346,-0.1467199235,-0.1501412984
"IDN",-0.1268549149,-0.1317978452,-0.1371942632,-0.1419521195,-0.1458225734,-0.1488946624
"IRL",-0.04252072061,-0.04403503525,-0.0456214664,-0.04699856831,-0.04810671472,-0.04900090499
"ITA",-0.09177912079,-0.09519539865,-0.09895086395,-0.102357802,-0.1051997608,-0.1074961324
"JPN",-0.08756873085,-0.09108014627,-0.09490807653,-0.09829232448,-0.1010685331,-0.1032690877
NA,-0.1155668168,-0.1202616156,-0.1254297664,-0.1300478362,-0.1338731569,-0.1369782928
"LVA",-0.01291018227,-0.01349593089,-0.01403523568,-0.01443041224,-0.0147542648,-0.01496737649
"LTU",-0.02180016189,-0.02267179962,-0.02357673688,-0.02435909355,-0.02501605627,-0.02552954592
"MYS",-0.1313388313,-0.1368085374,-0.1427622439,-0.1480632791,-0.15248322,-0.1560754178
"MEX",-0.1214541038,-0.1263916379,-0.1318699947,-0.1367920265,-0.1408507086,-0.1440748934
NA,-0.1505774997,-0.1566245907,-0.1633272943,-0.1693951121,-0.1744838104,-0.1786152487
"NLD",-0.05753268886,-0.05988934275,-0.06251437217,-0.06493821259,-0.06693694476,-0.06847934593
"NZL",-0.06144479534,-0.06387305634,-0.0665274334,-0.0688638931,-0.07073712485,-0.07221354516
"NOR",-0.00722607566,-0.00753892547,-0.00780350881,-0.00797215084,-0.00813446552,-0.00823572146
"POL",-0.05365974401,-0.05587558288,-0.05828380716,-0.06034899958,-0.06194427756,-0.06316854769
"PRT",-0.09021055493,-0.09392515569,-0.09795353932,-0.1014947268,-0.1045010803,-0.1069608831
"ROU",-0.08261226843,-0.08647540532,-0.09068291641,-0.09463634651,-0.09803774759,-0.1008763615
"RUS",-0.01540402806,-0.01592775866,-0.01647386625,-0.0170069345,-0.01752713636,-0.01802705365
"SGP",-0.1257139434,-0.1310325059,-0.1368115832,-0.1420599036,-0.146552546,-0.1502683283
