"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1849747937,-0.1932928075,-0.2023401696,-0.2114847022,-0.2199183971,-0.2271345645
"ARG",-0.04505916886,-0.0450122537,-0.04483022434,-0.04433758738,-0.04334290275,-0.04173582485
NA,-0.08253774486,-0.083887969,-0.08417945131,-0.0829739374,-0.08078145201,-0.07802086015
"AUS",-0.1017988557,-0.1029783065,-0.1042425793,-0.1050368923,-0.1050710993,-0.1042431979
"AUT",-0.0808670381,-0.08215563442,-0.0830549793,-0.08330655221,-0.0826550196,-0.08095618037
"BEL",-0.038568472,-0.03881650193,-0.03856275765,-0.03757374444,-0.03599957707,-0.03392085877
"BRA",-0.1326825692,-0.1360337925,-0.1392107963,-0.1418271389,-0.1434266853,-0.1437101486
"BGR",-0.04745072435,-0.04747134581,-0.0471665561,-0.04656192974,-0.04567523372,-0.04437628692
"CAN",0.00450008254,0.00313020085,0.00158152132,7.185942e-05,-0.00157543414,-0.00353651372
"CHL",-0.01408303468,-0.01208046457,-0.01017725902,-0.00817170837,-0.0059580452,-0.00349346142
"CHN",-0.08386279237,-0.08673177968,-0.08998687079,-0.09252325228,-0.09362183368,-0.09289606088
"HRV",-0.04654210341,-0.04670930288,-0.0467497674,-0.046513544,-0.04593144342,-0.04494823732
"CZE",-0.03180386097,-0.0311742258,-0.03101089035,-0.03078953747,-0.03026215859,-0.02934000125
"DNK",-0.03430089547,-0.03492375501,-0.03546681597,-0.03567045328,-0.03562300267,-0.03542386036
NA,-0.04385659911,-0.04424517001,-0.0445393158,-0.04423356381,-0.0432512246,-0.04164545991
"EGY",-0.1228566916,-0.1260461374,-0.1294281553,-0.1325180466,-0.1345879261,-0.1352720005
"EST",0.00668875274,0.00671910838,0.00635212813,0.00596479876,0.00541774249,0.00467108293
"FIN",0.01145203348,0.01117558471,0.01121754812,0.01166120645,0.01217877785,0.01251310783
"FRA",-0.05454788568,-0.05558238564,-0.05662232076,-0.05734149826,-0.0575032946,-0.05696442247
"DEU",-0.04625160893,-0.04606788923,-0.04572976227,-0.04513790579,-0.04409805798,-0.04250717539
"GRC",-0.07069027745,-0.06883031347,-0.06657461359,-0.06361671955,-0.05985399751,-0.05534093489
"HKG",-0.09513111842,-0.09955918452,-0.1045843952,-0.1095755917,-0.1142267006,-0.1181907145
"HUN",-0.03138406726,-0.03109404991,-0.0306126647,-0.02956117054,-0.02801086439,-0.02600337738
"IND",-0.09517625939,-0.09620077668,-0.09712949477,-0.09760115617,-0.09709643038,-0.09532864662
"IDN",-0.07338383174,-0.07301834248,-0.0727271894,-0.07204660657,-0.0703551405,-0.06731650105
"IRL",-0.04314936606,-0.04407412591,-0.0453208978,-0.04678886771,-0.0480764999,-0.04874742246
"ITA",-0.06144256937,-0.0604945985,-0.06025421628,-0.06040616598,-0.06041759489,-0.05997139979
"JPN",-0.05327042798,-0.05233611163,-0.0511942807,-0.0494342699,-0.04721262997,-0.04462919638
NA,-0.1038309584,-0.1067127089,-0.1097430351,-0.1125158128,-0.1144651707,-0.1152888038
"LVA",-0.00758140286,-0.00753427823,-0.0065294338,-0.00531167777,-0.00411487515,-0.00299110521
"LTU",-0.0095487202,-0.00951575058,-0.00908905889,-0.00867480528,-0.00856529827,-0.00875026175
"MYS",-0.04790793579,-0.04701453443,-0.04616319649,-0.04494532307,-0.04315123314,-0.04062754802
"MEX",-0.09787591438,-0.09836427306,-0.09874494781,-0.09868835605,-0.09770878757,-0.09554856541
NA,-0.1632616316,-0.169896695,-0.1768675504,-0.1833975621,-0.1889350958,-0.1932741031
"NLD",-0.03375313634,-0.0337130354,-0.03349813763,-0.03297800913,-0.0323701772,-0.03179955378
"NZL",-0.0330528636,-0.03184312934,-0.03067645881,-0.02928198475,-0.02756519298,-0.02545859736
"NOR",-0.01331863742,-0.01376250189,-0.01387495461,-0.01323751127,-0.01237791843,-0.01141980399
"POL",-0.01379534222,-0.0127251883,-0.0119063743,-0.01070027144,-0.00890744777,-0.00661429006
"PRT",-0.06781815942,-0.06842288373,-0.0687784864,-0.06849820958,-0.06742321991,-0.06558415437
"ROU",-0.08086726027,-0.08327499164,-0.08489220372,-0.08604482225,-0.08690072981,-0.0872385169
"RUS",-0.09332273454,-0.1011514049,-0.1099749897,-0.1190160945,-0.1282235947,-0.1376222606
"SGP",-0.07210763816,-0.07722897314,-0.08198028808,-0.08546111117,-0.08810396777,-0.09009043289
"SVK",-0.04858880287,-0.04918467079,-0.04875952363,-0.04793135506,-0.04711072383,-0.04626238082
"SVN",-0.04662330672,-0.04657185918,-0.04702113636,-0.04719364212,-0.04673195883,-0.04561171635
"ZAF",-0.08740838114,-0.08709693314,-0.08735666527,-0.08776462951,-0.08778008845,-0.0871636809
"KOR",-0.04639922256,-0.0462399228,-0.0463343291,-0.04638003329,-0.04602647919,-0.04505783242
"ESP",-0.07995342088,-0.07993884306,-0.08050247474,-0.08113042352,-0.08124612559,-0.08062073833
"SWE",-0.02274118493,-0.02268651993,-0.02277636517,-0.02281700996,-0.02260768421,-0.02205718337
"CHE",-0.01542767125,-0.01206978862,-0.01006463385,-0.00817277236,-0.00552881587,-0.00213379136
"TWN",-0.06338449992,-0.06334995299,-0.06419498798,-0.06557262279,-0.06642458405,-0.06626025685
"TUR",-0.07440386439,-0.07584293167,-0.07724898199,-0.07824901516,-0.0784514282,-0.07764617946
"GBR",-0.03521329484,-0.03608320267,-0.03635401186,-0.03547678447,-0.03358230526,-0.03104974778
"USA",-0.07251537349,-0.07259105393,-0.07232507492,-0.07151299284,-0.0700542167,-0.0678881293
"VNM",-0.09339005686,-0.09451811006,-0.09530948978,-0.09553425886,-0.09488259062,-0.0931148167
