"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.2153440755,-0.2225150602,-0.2293702498,-0.2353569769,-0.2398925205,-0.2430683834
"ARG",-0.06156644667,-0.06252309684,-0.06353970157,-0.06418095419,-0.06398319456,-0.0629770629
NA,-0.1034512626,-0.1060423389,-0.1087676525,-0.1108747112,-0.1117106094,-0.1113848286
"AUS",-0.119456524,-0.1224851123,-0.1254729281,-0.1279104837,-0.1292143289,-0.1294593692
"AUT",-0.06595611997,-0.06805205348,-0.07040404042,-0.07258425,-0.07416790499,-0.07508404275
"BEL",-0.05059509958,-0.05207572493,-0.0537235922,-0.05502956909,-0.05571426138,-0.05579208798
"BRA",-0.1523044405,-0.1565716045,-0.1608568018,-0.1644091331,-0.1664858402,-0.1671698227
"BGR",-0.06201561814,-0.06373716456,-0.06541599364,-0.06667516117,-0.06716451917,-0.06698819394
"CAN",0.01095052176,0.01092698217,0.01107959969,0.01131906037,0.01146289575,0.01138747269
"CHL",-0.02820151296,-0.02798923414,-0.02794040429,-0.02763500902,-0.02668465765,-0.02509102373
"CHN",-0.0985292291,-0.1011367222,-0.1039067577,-0.1061988592,-0.1074197716,-0.1075994929
"HRV",-0.05901162771,-0.06043779288,-0.06221104043,-0.06375819518,-0.06455175561,-0.06461608183
"CZE",-0.0445217321,-0.04535847579,-0.04635874669,-0.04713636181,-0.04740350193,-0.04720241871
"DNK",-0.03868983857,-0.03983838362,-0.04117597825,-0.04229428862,-0.04291661117,-0.04309312964
NA,-0.04711350183,-0.04939861434,-0.05181570614,-0.05375225166,-0.05480557403,-0.05503785345
"EGY",-0.1457400125,-0.1502000853,-0.1547843551,-0.158699266,-0.1611879771,-0.1623353289
"EST",0.00121046028,0.00120325383,0.00171107292,0.00217464726,0.00252785231,0.00280325701
"FIN",0.01238960485,0.01263193409,0.0129430803,0.01338804882,0.01386965664,0.01425691108
"FRA",-0.07360231186,-0.07593946788,-0.0783393009,-0.08033326351,-0.08150037479,-0.08187270229
"DEU",-0.0588414476,-0.06075510049,-0.06264795544,-0.06413319987,-0.06498301834,-0.06523369008
"GRC",-0.08777023687,-0.08960622803,-0.09173179688,-0.09355409395,-0.09453779531,-0.09473190353
"HKG",-0.1154131527,-0.1199969546,-0.1249437375,-0.1295422609,-0.133155547,-0.135840384
"HUN",-0.04959336139,-0.0506347466,-0.05188184827,-0.0527786543,-0.05292045834,-0.05239812978
"IND",-0.1147346553,-0.1174717646,-0.1204039524,-0.1227278261,-0.1236585162,-0.1232374436
"IDN",-0.09972784827,-0.1014685711,-0.1034580529,-0.1048520638,-0.1048851274,-0.103612694
"IRL",-0.03752522758,-0.038832302,-0.040263039,-0.04159980174,-0.04263940604,-0.04333277046
"ITA",-0.07832959123,-0.08002384998,-0.08189638826,-0.08346089616,-0.08420313354,-0.08410983834
"JPN",-0.07220241389,-0.07433220352,-0.07655275379,-0.07831433769,-0.07919231568,-0.07925476319
NA,-0.10893996,-0.1123733715,-0.1158359738,-0.118798291,-0.1207500796,-0.1217510596
"LVA",-0.00452816841,-0.00466658144,-0.00483498305,-0.00488202488,-0.00475584119,-0.00446168323
"LTU",-0.01433185202,-0.01476467222,-0.01509464083,-0.01526331911,-0.0152447364,-0.01508388363
"MYS",-0.09602299061,-0.09814732725,-0.1004628266,-0.1022305134,-0.1027732567,-0.1021649294
"MEX",-0.1031195866,-0.1053619525,-0.1077958369,-0.1097290682,-0.1104893512,-0.1101224334
NA,-0.1960752375,-0.2031001176,-0.2099699887,-0.2159287055,-0.220315504,-0.2233081971
"NLD",-0.0472735325,-0.04847459783,-0.04981226555,-0.05081591276,-0.05119659657,-0.05103209191
"NZL",-0.04092927336,-0.04142446961,-0.04204751524,-0.04242567868,-0.04217800379,-0.04129672794
"NOR",-0.00628442991,-0.00672221454,-0.00714719636,-0.00737855907,-0.00744964069,-0.00734388173
"POL",-0.02579394684,-0.02563029461,-0.02589284597,-0.02617180702,-0.02600155323,-0.02533151783
"PRT",-0.08625545111,-0.08874037413,-0.09141450403,-0.09363090946,-0.09488343042,-0.09523814557
"ROU",-0.08387771796,-0.08811573373,-0.0926361604,-0.09693208345,-0.1006587566,-0.1038646272
"RUS",-0.10885852,-0.113944736,-0.1183515889,-0.1225189981,-0.1265424665,-0.1304097187
"SGP",-0.101145111,-0.105002927,-0.1092210288,-0.112775146,-0.11500661,-0.1161383783
"SVK",-0.04997290094,-0.05159558294,-0.05339095492,-0.05484529814,-0.05559916918,-0.05572229626
"SVN",-0.05866035932,-0.06013796217,-0.06180620057,-0.06322688545,-0.06394199268,-0.06396660827
"ZAF",-0.1244945337,-0.1290627521,-0.1337934579,-0.1379086309,-0.1406818018,-0.1421765686
"KOR",-0.05935535592,-0.06053681233,-0.06192010678,-0.06299255847,-0.06328773913,-0.06282386039
"ESP",-0.09686083018,-0.09939094277,-0.1021167407,-0.1043142383,-0.1054412813,-0.1055880936
"SWE",-0.02025243968,-0.02084400577,-0.02150277411,-0.02198302799,-0.02230371906,-0.0224818597
"CHE",-0.02732904238,-0.02647581328,-0.02610687414,-0.02574935457,-0.02493129271,-0.02364348319
"TWN",-0.07658009785,-0.07841350665,-0.0805344793,-0.0825034553,-0.08379335526,-0.08438483622
"TUR",-0.09222515606,-0.09467152201,-0.0972420898,-0.09932994115,-0.1003527092,-0.100332093
"GBR",-0.03952372686,-0.04069112456,-0.04182933998,-0.04260947451,-0.04286936548,-0.0426964479
"USA",-0.07432404275,-0.07615296137,-0.07799441937,-0.07938435203,-0.07994447573,-0.07974328042
"VNM",-0.1152994412,-0.1182438588,-0.1214215702,-0.1240099416,-0.1252753976,-0.1252857866
