"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.2153179638,-0.2246651694,-0.2332350815,-0.2408420214,-0.247290832,-0.2522367168
"ARG",-0.06899631062,-0.07063801311,-0.0721245701,-0.07323081636,-0.07377922881,-0.07356401268
NA,-0.11937885,-0.1222596057,-0.1251141425,-0.1275975666,-0.1293264295,-0.1298671462
"AUS",-0.1267340859,-0.1307901663,-0.1345189001,-0.1377519635,-0.1402425134,-0.141601132
"AUT",-0.07565304891,-0.07820542541,-0.08062964156,-0.08287221612,-0.08486963727,-0.08627832516
"BEL",-0.05890235349,-0.06146443955,-0.06404165539,-0.06630314577,-0.06806325779,-0.06910552963
"BRA",-0.1629744255,-0.1682850789,-0.1733239121,-0.1777303642,-0.181174578,-0.183174477
"BGR",-0.07632932456,-0.07851867423,-0.08056783114,-0.08191608595,-0.08254898726,-0.08233736624
"CAN",0.00389882827,0.00383883634,0.00397474735,0.00407817441,0.00411977219,0.00408124126
"CHL",-0.03530053884,-0.03597025633,-0.03675787781,-0.03736768754,-0.03755801193,-0.03709285285
"CHN",-0.1152216817,-0.1183848806,-0.1212159789,-0.1234513279,-0.124898423,-0.1252453688
"HRV",-0.0760925261,-0.07822161416,-0.0800693347,-0.0813005985,-0.08175555316,-0.08122992455
"CZE",-0.05686459523,-0.05799440144,-0.05918494,-0.06017462613,-0.06086175058,-0.06102333094
"DNK",-0.04393621106,-0.04569576827,-0.04738704436,-0.0489593587,-0.05026094925,-0.05110222673
NA,-0.06550694379,-0.06502856479,-0.06485200561,-0.06492326881,-0.06505538375,-0.06494440733
"EGY",-0.1575581585,-0.1626875318,-0.1677374039,-0.1723087141,-0.1759941051,-0.1782730578
"EST",-0.00451931802,-0.00422622994,-0.00373882193,-0.00304262767,-0.00225460689,-0.00149445623
"FIN",0.01131436236,0.01116031125,0.01104457723,0.01107039887,0.0111793482,0.01130402877
"FRA",-0.08147692799,-0.08475448461,-0.08802306832,-0.09100207291,-0.09349247264,-0.09518498438
"DEU",-0.07061486336,-0.07361950642,-0.07657082864,-0.07928409472,-0.08158460877,-0.08312289346
"GRC",-0.1113512586,-0.1157815549,-0.1197954362,-0.1232443877,-0.1258390652,-0.1272359158
"HKG",-0.1255104788,-0.1308787153,-0.1361242867,-0.1409724983,-0.1452037496,-0.1482925026
"HUN",-0.06643589204,-0.06764344014,-0.06884549671,-0.06975993313,-0.07018002552,-0.06981226096
"IND",-0.1274414588,-0.1309510934,-0.134330546,-0.1371430528,-0.1390952099,-0.1396933976
"IDN",-0.1146823869,-0.1170936915,-0.1194656327,-0.1213688061,-0.1224303582,-0.1221917465
"IRL",-0.04697253203,-0.04864037223,-0.0502327266,-0.05174610422,-0.05313709324,-0.05424766276
"ITA",-0.09636956611,-0.09893809277,-0.1014771187,-0.1037455893,-0.1054265946,-0.1061636406
"JPN",-0.08663156466,-0.08980373175,-0.09292184652,-0.09565894224,-0.09779060695,-0.09900558226
NA,-0.1162685164,-0.1203124292,-0.1242467187,-0.127800587,-0.1307013711,-0.1325928318
"LVA",-0.01000689476,-0.01024850418,-0.01042294538,-0.01039550998,-0.01023980517,-0.00989516901
"LTU",-0.02043063241,-0.0209865647,-0.0213590885,-0.02137153569,-0.0210847251,-0.02051104366
