"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1690332624,-0.1781103795,-0.1878549782,-0.1973439907,-0.2058880756,-0.2129989402
"ARG",-0.07390242539,-0.07604225786,-0.07794651282,-0.07924589213,-0.07985263451,-0.07969557583
NA,-0.1276272529,-0.1319207008,-0.1362958429,-0.1401155339,-0.1429795461,-0.144550811
"AUS",-0.1286297272,-0.1334318012,-0.1380389012,-0.1420881362,-0.1452168642,-0.1471361907
"AUT",-0.06894712666,-0.07184952473,-0.07514030958,-0.07830616329,-0.08128461784,-0.08409379856
"BEL",-0.06325594455,-0.06597063045,-0.06858900961,-0.07093222298,-0.07280663681,-0.07414511634
"BRA",-0.1582568394,-0.1646233299,-0.1712531622,-0.1772271181,-0.1820431628,-0.1853484566
"BGR",-0.07896413551,-0.08183607937,-0.08539791264,-0.08828040199,-0.09016987925,-0.09107712289
"CAN",0.01775229517,0.01812994295,0.0185357399,0.01907419472,0.01962557687,0.0201335365
"CHL",-0.05196226815,-0.05353807957,-0.05488129487,-0.05564901175,-0.055726043,-0.05501764246
"CHN",-0.1144361618,-0.118419623,-0.1224324509,-0.1259465898,-0.1285653881,-0.1300455392
"HRV",-0.08377094582,-0.08649993042,-0.08907313214,-0.09105198235,-0.09214377519,-0.09221338416
"CZE",-0.06230112321,-0.06443198095,-0.06683769984,-0.06903533017,-0.07079554026,-0.07188362059
"DNK",-0.04579841508,-0.04774948758,-0.04957777267,-0.05094044916,-0.05191303744,-0.05250655135
NA,-0.06336765025,-0.06551086025,-0.06820759208,-0.0715074954,-0.07509045596,-0.07850092308
"EGY",-0.1516715396,-0.1576795989,-0.1640506853,-0.1700625848,-0.1751026658,-0.1786886947
"EST",0.00088391419,0.00023661568,-0.00121198308,-0.00232955318,-0.00309964161,-0.00364633789
"FIN",0.0146508449,0.01488494583,0.01546787147,0.01621994903,0.01703197303,0.01789889096
"FRA",-0.08448200775,-0.08810630653,-0.09170685657,-0.0949461566,-0.09752922139,-0.09919843493
"DEU",-0.06819847663,-0.0713378053,-0.07468273503,-0.07786540937,-0.08057854227,-0.08254556729
"GRC",-0.1080124907,-0.112524807,-0.1169745964,-0.1211480977,-0.124626701,-0.1271537792
"HKG",-0.1342973553,-0.1395069479,-0.1450214308,-0.1502749263,-0.1547707164,-0.1581767736
"HUN",-0.07686664184,-0.07894792737,-0.08083234989,-0.08230678946,-0.083095121,-0.08304266339
"IND",-0.1357063359,-0.1405636043,-0.1454679685,-0.1497218418,-0.1527996431,-0.1544005007
"IDN",-0.1274776846,-0.1313369459,-0.1351286827,-0.1383563871,-0.140590583,-0.141450549
"IRL",-0.03731004654,-0.03880953619,-0.04033433606,-0.04168070522,-0.04283845229,-0.04380119889
"ITA",-0.09455887337,-0.09825298098,-0.1022895692,-0.1060736985,-0.1091427434,-0.1111952998
"JPN",-0.08694697492,-0.09033831638,-0.09363634125,-0.09653137107,-0.09883806046,-0.100307323
NA,-0.1095282155,-0.1140867201,-0.1191972678,-0.1243417935,-0.1287518067,-0.1318437282
"LVA",-0.0085722595,-0.00898402679,-0.00978372012,-0.01041550971,-0.01089414816,-0.01118846543
"LTU",-0.01970311675,-0.02039015488,-0.02132369182,-0.0220875988,-0.02257801339,-0.02278425265
"MYS",-0.1279625195,-0.1323416004,-0.136706261,-0.1405322997,-0.1433267044,-0.1447526899
"MEX",-0.1220681022,-0.1266875339,-0.1315863031,-0.1359667923,-0.1393248441,-0.1413348184
NA,-0.1779109103,-0.1860225343,-0.1948487922,-0.2035016678,-0.2112036779,-0.2173538348
"NLD",-0.05884567087,-0.06121431407,-0.0633542111,-0.0651315524,-0.06650383319,-0.06732557311
"NZL",-0.05794211348,-0.05980702172,-0.06144392518,-0.06262414733,-0.06319696397,-0.06301163248
"NOR",-0.00448540488,-0.00513358271,-0.00599400575,-0.00633236729,-0.00657544951,-0.00682666122
"POL",-0.04977568444,-0.05082164724,-0.05148055489,-0.05179678871,-0.05184215903,-0.05134861511
"PRT",-0.100407029,-0.1041448769,-0.1077207217,-0.1108347555,-0.1132299807,-0.1147302076
"ROU",-0.08957076896,-0.09464667688,-0.1000795521,-0.1054763524,-0.1106095514,-0.1152761584
"RUS",-0.04704873479,-0.05158842148,-0.05657572411,-0.06157450275,-0.06646490679,-0.07118979726
"SGP",-0.1294924994,-0.1333574607,-0.1369867387,-0.1404177375,-0.1432280136,-0.1449362894
"SVK",-0.06240296234,-0.06497797379,-0.06784802823,-0.0702958484,-0.07218815295,-0.07338516681
"SVN",-0.07309704564,-0.07613868117,-0.07943267664,-0.08221630322,-0.08432556077,-0.08563811948
"ZAF",-0.1474444856,-0.1533760593,-0.1592997775,-0.1646522477,-0.1689851022,-0.1719393722
"KOR",-0.08209680989,-0.08469072308,-0.08729977093,-0.0894958318,-0.090977776,-0.09154648287
"ESP",-0.1096477178,-0.1141145143,-0.118511544,-0.1222293371,-0.125077107,-0.1268918269
"SWE",-0.0192277468,-0.02065175331,-0.02207237437,-0.02325404249,-0.02417414611,-0.02481461195
"CHE",-0.05741193602,-0.05879254262,-0.06003825929,-0.06060675227,-0.06014110755,-0.05867286265
"TWN",-0.10249913,-0.1061433635,-0.1100790011,-0.1136052899,-0.1163012227,-0.1179773601
"TUR",-0.1021038595,-0.1060423221,-0.1098494241,-0.1129976685,-0.1152462233,-0.1164211616
"GBR",-0.04651643126,-0.04764201552,-0.04937956304,-0.05146452113,-0.0536298169,-0.05552478345
"USA",-0.08034859674,-0.08335269821,-0.08646183599,-0.08930501402,-0.09147849862,-0.09273284605
"VNM",-0.1398678853,-0.1447183509,-0.1497340665,-0.1542010763,-0.1576283105,-0.1595798965
