"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1967312438,-0.2041280691,-0.2112212871,-0.2180694397,-0.2239853182,-0.2284316731
"ARG",-0.06746574346,-0.06906521754,-0.0704359143,-0.07162093354,-0.07224797635,-0.07204965238
NA,-0.1160077883,-0.1196494252,-0.1229579013,-0.1260510049,-0.1282878738,-0.1292178823
"AUS",-0.1226128326,-0.1267602247,-0.130489783,-0.1340298786,-0.1367968888,-0.1383500421
"AUT",-0.07110249612,-0.07368096962,-0.07611260804,-0.07851085498,-0.08059549678,-0.08197695682
"BEL",-0.06056341687,-0.06286973325,-0.06508604233,-0.0671695614,-0.06876614495,-0.06964789215
"BRA",-0.1556323168,-0.1609066427,-0.1658553907,-0.1705396261,-0.1742462145,-0.1764037152
"BGR",-0.07095207422,-0.07308658972,-0.07505970558,-0.07689235712,-0.07816624442,-0.07861695439
"CAN",0.00808538996,0.00849733352,0.0090937851,0.00968821961,0.01021748753,0.01062429199
"CHL",-0.03737410773,-0.03784366829,-0.03824131198,-0.03857665017,-0.03847671959,-0.03767904855
"CHN",-0.1063136114,-0.1098423159,-0.113157812,-0.1163041484,-0.118724182,-0.1199675564
"HRV",-0.07202961228,-0.07415002771,-0.07618556227,-0.07818193963,-0.0796624698,-0.08025849649
"CZE",-0.05473785954,-0.0560469704,-0.05725461156,-0.05846996938,-0.05935324741,-0.05967458373
"DNK",-0.04307774948,-0.04457853084,-0.04588593078,-0.04716287146,-0.04823275507,-0.0488237215
NA,-0.05418937935,-0.05610684218,-0.0579129637,-0.05956816089,-0.06072699466,-0.06116324005
"EGY",-0.1496830622,-0.1550215781,-0.1600312398,-0.1647440155,-0.1685158039,-0.1708537569
"EST",0.00088705269,0.00108794542,0.00138479462,0.00166224255,0.00193206546,0.00217401952
"FIN",0.01091115493,0.01137420236,0.0119665564,0.01264393047,0.01339106678,0.01406652318
"FRA",-0.08102068758,-0.08417261638,-0.08713334364,-0.08992826237,-0.09215041249,-0.09346219199
"DEU",-0.06699232746,-0.06949674299,-0.07190237675,-0.07419728679,-0.0760850278,-0.07722529805
"GRC",-0.1054406936,-0.1085907191,-0.1114642834,-0.114253464,-0.1164919927,-0.1177616806
"HKG",-0.1236331596,-0.1290223574,-0.1343040298,-0.1395213093,-0.1441412024,-0.1476343972
"HUN",-0.06454369491,-0.06622042288,-0.06774855421,-0.06928545968,-0.07029627089,-0.07047586779
"IND",-0.1219122993,-0.1258803771,-0.1296197557,-0.1330982309,-0.1356712601,-0.13677824
"IDN",-0.1155305645,-0.1184373669,-0.1210990378,-0.1235680889,-0.1251328244,-0.1252501843
"IRL",-0.04069728404,-0.04233548614,-0.04390281218,-0.04542782324,-0.04676775767,-0.04769170644
"ITA",-0.09056318141,-0.09320364751,-0.09564563969,-0.09799353945,-0.09978380453,-0.1005953675
"JPN",-0.08269825249,-0.08595355412,-0.08901597842,-0.09187718825,-0.09410710766,-0.09539245931
NA,-0.110224658,-0.114257526,-0.118083814,-0.121732483,-0.1247086177,-0.1266144595
"LVA",-0.00806468002,-0.00824565433,-0.00826944212,-0.00810038274,-0.00785807523,-0.00748653313
"LTU",-0.01817280329,-0.01840994129,-0.01851485409,-0.01859158778,-0.0185238133,-0.01828805875
"MYS",-0.1179237615,-0.1214205909,-0.124691098,-0.1277728054,-0.1299839118,-0.1308417793
"MEX",-0.1129875311,-0.1164203572,-0.1196288096,-0.1226914813,-0.1249576352,-0.1259005609
NA,-0.1894384958,-0.196873283,-0.2039858326,-0.2107917495,-0.2165754512,-0.2207655076
"NLD",-0.05503095764,-0.05669371676,-0.05826302575,-0.05976942663,-0.06088880215,-0.06138438178
"NZL",-0.04829883024,-0.04947064434,-0.05050893181,-0.05145980434,-0.05198946279,-0.05181935382
"NOR",-0.00904554833,-0.00970209532,-0.01033348633,-0.010588643,-0.01063343373,-0.01065488172
