"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.2336204834,-0.2389945828,-0.2438505842,-0.2477557682,-0.2505980204,-0.2523987413
"ARG",-0.05216619631,-0.05276661404,-0.05330201333,-0.05341328058,-0.05290865168,-0.05174429694
NA,-0.08434147766,-0.0866491557,-0.08857887052,-0.08948008882,-0.08932268319,-0.08829527545
"AUS",-0.1124372087,-0.1150149117,-0.1173611599,-0.1190116061,-0.1197751102,-0.11968619
"AUT",-0.07325060335,-0.07441304937,-0.07584702662,-0.07721196497,-0.07817199903,-0.07845010777
"BEL",-0.04090520414,-0.04173527302,-0.0426036163,-0.0431290315,-0.04320315527,-0.04284810365
"BRA",-0.1459804108,-0.1494239468,-0.1525970375,-0.1547894827,-0.1557394886,-0.1554719569
"BGR",-0.05011182929,-0.05154680208,-0.05276357974,-0.05348814736,-0.05363264361,-0.05321908118
"CAN",0.00991025937,0.00894624018,0.00797653148,0.0069730739,0.0057853382,0.00449595165
"CHL",-0.00796355232,-0.00742414145,-0.0070211444,-0.00642522981,-0.00546226343,-0.0040862553
"CHN",-0.08330999387,-0.08575771576,-0.08824980535,-0.09013233211,-0.091112709,-0.0911181963
"HRV",-0.04402018355,-0.04577671377,-0.04777006496,-0.04942746828,-0.05045975645,-0.05079082044
"CZE",-0.03201803246,-0.03244164809,-0.03296817736,-0.03326032299,-0.03320530506,-0.03280209191
"DNK",-0.03953514153,-0.04070393693,-0.04202561644,-0.04306325205,-0.04364637807,-0.04380447584
NA,-0.02033327824,-0.02080686395,-0.0216039198,-0.02195916788,-0.02165734272,-0.0207535345
"EGY",-0.1392992433,-0.1429924451,-0.1464016503,-0.1488147982,-0.1500139,-0.1500872542
"EST",0.00343248589,0.00272164624,0.00206382746,0.00145427062,0.00092729621,0.0004978129
"FIN",0.00420953183,0.00398863398,0.00371711963,0.00343614372,0.00311904519,0.00271284482
"FRA",-0.06417816717,-0.06650627988,-0.06861561603,-0.07009354034,-0.07078844516,-0.07069708722
"DEU",-0.04742336433,-0.0481392965,-0.04872227133,-0.0489780481,-0.04886749896,-0.04841013485
"GRC",-0.06635918661,-0.06567589901,-0.06536276237,-0.06491033532,-0.0641706412,-0.06318434482
"HKG",-0.1036726427,-0.1090671105,-0.1147586622,-0.1198825226,-0.1242566739,-0.1278861214
"HUN",-0.02864549224,-0.02975332025,-0.03102956662,-0.03185205362,-0.03205869745,-0.03171934611
"IND",-0.1014721195,-0.1034073951,-0.1052017235,-0.1061934903,-0.1060778293,-0.104839962
"IDN",-0.07961431456,-0.08072521322,-0.0817197773,-0.08193508074,-0.08104349694,-0.07899931016
"IRL",-0.04853976299,-0.04928547603,-0.05006749874,-0.05080859999,-0.05140367505,-0.05171794362
"ITA",-0.06223322233,-0.06328544078,-0.06451572503,-0.0654428162,-0.06579991062,-0.06550435686
"JPN",-0.05537486992,-0.05655272702,-0.05760044287,-0.05803650658,-0.0577895851,-0.05693141595
NA,-0.1056484557,-0.1086888583,-0.1115172947,-0.1136054015,-0.1148301249,-0.1152585169
"LVA",-0.00259095057,-0.00258799986,-0.0025463836,-0.00242692333,-0.0021729637,-0.00178314868
"LTU",-0.01154101258,-0.01193305149,-0.01228040806,-0.01246727192,-0.01251507443,-0.01248127077
"MYS",-0.04011358426,-0.04131523488,-0.04259661706,-0.04327528458,-0.04313657801,-0.04220726552
"MEX",-0.09766127918,-0.09879218768,-0.09983302057,-0.100201697,-0.09964710162,-0.09815856246
NA,-0.2012722218,-0.2073153684,-0.2127790129,-0.2169932777,-0.2198672476,-0.2215756606
"NLD",-0.03961352572,-0.04047868151,-0.04142244272,-0.04202580287,-0.04217973057,-0.04194404473
"NZL",-0.02958866621,-0.0296987803,-0.02986097868,-0.02972345054,-0.02913465843,-0.02806188051
"NOR",-0.00778135215,-0.00777377635,-0.00771935654,-0.00756181383,-0.00720121639,-0.00663403376
"POL",-0.00767707731,-0.00726874079,-0.00728667263,-0.00717086281,-0.00665612581,-0.00574275937
"PRT",-0.07405457685,-0.07579202669,-0.07769475259,-0.07914423218,-0.0798767588,-0.0798777169
"ROU",-0.08609479555,-0.0886637483,-0.09091872246,-0.09245008316,-0.0932799115,-0.09336128712
"RUS",-0.1350103253,-0.1399931251,-0.1444583787,-0.1487251395,-0.1528890881,-0.1569414046
"SGP",-0.08367883217,-0.08848119166,-0.09327887976,-0.09711116385,-0.09981028857,-0.1015849007
"SVK",-0.04464400907,-0.04559937659,-0.04661927088,-0.04730789975,-0.0474815047,-0.04713007064
"SVN",-0.04796422554,-0.04918738311,-0.05048935027,-0.05143186709,-0.05179853018,-0.05155870875
"ZAF",-0.1414453495,-0.1469788287,-0.1520771861,-0.1560889571,-0.1587633409,-0.1601549634
"KOR",-0.04079326746,-0.04179439435,-0.04250023166,-0.04261905159,-0.04215146923,-0.04114203847
"ESP",-0.08960770216,-0.09128049221,-0.09305643206,-0.09431346117,-0.09476911134,-0.09442060286
"SWE",-0.02741154299,-0.02780290747,-0.02816528178,-0.02847290159,-0.02866589362,-0.02866286435
"CHE",-0.00052318372,0.00072440763,0.00134340827,0.00175735609,0.00225325514,0.00284883763
"TWN",-0.05254851789,-0.05415523919,-0.05576540038,-0.05708891578,-0.05799326867,-0.05841533088
"TUR",-0.08642657011,-0.08845336333,-0.09034381709,-0.09159584312,-0.09196829443,-0.09142887927
"GBR",-0.03281167046,-0.03354580827,-0.03409136763,-0.0341157397,-0.03359513394,-0.0326841276
"USA",-0.07584391822,-0.07632001715,-0.07661859028,-0.07636460214,-0.07546800219,-0.07396942741
"VNM",-0.09775102061,-0.1000364507,-0.1021189024,-0.1033581337,-0.103552944,-0.1027385115
