"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1624453573,-0.1662286151,-0.1694158252,-0.1720759796,-0.1734928042,-0.1741551085
"ARG",-0.06739348406,-0.06861097072,-0.06947776365,-0.06995504344,-0.06957727235,-0.06866713842
NA,-0.1116992544,-0.1141022244,-0.1160984525,-0.117747173,-0.1181789799,-0.1177738142
"AUS",-0.1283869943,-0.1314166973,-0.1338072611,-0.1357095739,-0.1364931511,-0.1365948203
"AUT",-0.06646909136,-0.0682402056,-0.06958513342,-0.07053178339,-0.07069748676,-0.07034485673
"BEL",-0.05435661817,-0.05594490659,-0.05724585076,-0.0582263567,-0.05855127481,-0.05847312322
"BRA",-0.1454517721,-0.1490163654,-0.1519518055,-0.1542615808,-0.1551624806,-0.1552003064
"BGR",-0.06747202428,-0.06930368995,-0.07068590043,-0.07170460166,-0.0719305339,-0.07168165133
"CAN",0.0139204166,0.01429378439,0.01476161121,0.01511220349,0.01531711665,0.01524860205
"CHL",-0.03888421446,-0.03968111538,-0.04020522303,-0.04042719771,-0.03999906596,-0.03915509847
"CHN",-0.1035016791,-0.1057634321,-0.1075681943,-0.1089326292,-0.1092440313,-0.1089069841
"HRV",-0.06964896641,-0.07195145923,-0.07391161792,-0.0754676735,-0.07606374793,-0.07604286108
"CZE",-0.0504623979,-0.05165738733,-0.05263084182,-0.05337523655,-0.05355466845,-0.0533978977
"DNK",-0.0399883885,-0.04106668336,-0.04194953599,-0.04261991501,-0.04282158897,-0.04274402019
NA,-0.05497800439,-0.05566363385,-0.05608430384,-0.05616133361,-0.05553800361,-0.05451409104
"EGY",-0.1376324792,-0.1409074824,-0.143670595,-0.1459441207,-0.1468743311,-0.1469420096
"EST",0.00111128608,0.00085009538,0.00064689755,0.00051799272,0.00045774267,0.00043018321
"FIN",0.01527842536,0.01518605998,0.01523611289,0.01538049665,0.01559196477,0.01573086972
"FRA",-0.07463913563,-0.07664916395,-0.07832051075,-0.07964770012,-0.08017327413,-0.0801921168
"DEU",-0.05918559492,-0.06070747759,-0.06191399416,-0.06286852976,-0.06326524067,-0.06330893523
"GRC",-0.09093019177,-0.09295182776,-0.09459929735,-0.09588151157,-0.09623957371,-0.09604293672
