"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1914369826,-0.1958602979,-0.1998123442,-0.2026261894,-0.2042646519,-0.2049843693
"ARG",-0.07609642377,-0.07703116655,-0.07797440708,-0.07839268266,-0.07818152343,-0.07745313208
NA,-0.1305793868,-0.1320206718,-0.1334563353,-0.1341655638,-0.1339046858,-0.1327365399
"AUS",-0.150807671,-0.1543429604,-0.1566360646,-0.1578512072,-0.1580055468,-0.1572633852
"AUT",-0.08748445993,-0.08818491583,-0.08871439685,-0.08870141234,-0.08810138495,-0.08708265733
"BEL",-0.06607785951,-0.06796159756,-0.06987881614,-0.07130347019,-0.07215407434,-0.07249924344
"BRA",-0.163314787,-0.166562926,-0.1696419026,-0.1716841653,-0.1725342783,-0.1723805255
"BGR",-0.08704490569,-0.0869106692,-0.08627566869,-0.08490878747,-0.08296444096,-0.08065103899
"CAN",-0.01239012645,-0.0128668956,-0.01316436025,-0.01337854924,-0.01365982659,-0.01401905309
"CHL",-0.04326276177,-0.04385923429,-0.04455527252,-0.04490868265,-0.04481850704,-0.04431506811
"CHN",-0.1226450784,-0.1244360513,-0.1257326009,-0.125998649,-0.1252405416,-0.1237125432
"HRV",-0.09187908132,-0.09183540342,-0.09107783136,-0.08924265933,-0.08655643095,-0.08346750742
"CZE",-0.06641103513,-0.0668109197,-0.06728014747,-0.06736465252,-0.067015305,-0.06631127238
"DNK",-0.04928073079,-0.05066900805,-0.05201197013,-0.05298328717,-0.05359577264,-0.05398432154
NA,-0.08207511823,-0.07773647273,-0.07382675431,-0.07013067664,-0.06661654671,-0.06332807433
"EGY",-0.1560958711,-0.1587211478,-0.1611897402,-0.1626937893,-0.1630633375,-0.1624692378
"EST",-0.00974958706,-0.0076936129,-0.0053299152,-0.00306456247,-0.00118094977,0.00018095096
"FIN",0.00828140614,0.00789112212,0.00752650844,0.00723118766,0.00686439892,0.00637927345
"FRA",-0.08551352821,-0.08844464701,-0.09143570228,-0.09390825729,-0.09569857806,-0.09683967101
"DEU",-0.07693230032,-0.07922343921,-0.08133619294,-0.08279917215,-0.08346075868,-0.08337801668
"GRC",-0.1257280456,-0.1287095085,-0.1309331931,-0.1318147361,-0.1312651619,-0.1295047481
"HKG",-0.1322243539,-0.1357463667,-0.1390963673,-0.1415341552,-0.14291784,-0.1434246678
"HUN",-0.0758902172,-0.07634301874,-0.07688326254,-0.07691615146,-0.07637541289,-0.07537098784
"IND",-0.1376174235,-0.1395467206,-0.141326491,-0.14214084,-0.1418595234,-0.1406752867
"IDN",-0.1217134566,-0.1221670988,-0.1229217314,-0.1229672996,-0.1220537148,-0.120338507
