"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1698401534,-0.1752459683,-0.1800633017,-0.184787339,-0.1885626576,-0.1909316836
"ARG",-0.08529385854,-0.08754207849,-0.08958592321,-0.09173705569,-0.09327667341,-0.09389758746
NA,-0.138083446,-0.1423502827,-0.1463004194,-0.1503686926,-0.1535529618,-0.1553479218
"AUS",-0.1384699535,-0.1434584862,-0.1478698648,-0.1522424509,-0.155776439,-0.1580109003
"AUT",-0.07749382661,-0.08019223291,-0.08263630821,-0.08521634553,-0.08729413608,-0.08856600282
"BEL",-0.06871133377,-0.07133242586,-0.07381196994,-0.07646684416,-0.07866073491,-0.08012005532
"BRA",-0.1694936441,-0.1749851873,-0.1800224155,-0.1851454981,-0.1892573251,-0.1917787469
"BGR",-0.08883743492,-0.09147914806,-0.09388556984,-0.09635573944,-0.098322744,-0.09943421057
"CAN",0.01296293806,0.01287103114,0.01303550139,0.013352565,0.01381285965,0.01405545598
"CHL",-0.06016969734,-0.0617539064,-0.06327688019,-0.06490531509,-0.06616517927,-0.06679006068
"CHN",-0.1226511553,-0.1267149505,-0.1303975649,-0.1339942113,-0.1367574332,-0.138312983
"HRV",-0.09441261563,-0.0974703143,-0.100305836,-0.1031963116,-0.1055252426,-0.1069256187
"CZE",-0.06976782564,-0.072138619,-0.07448343891,-0.07696294933,-0.07888361422,-0.07997146101
"DNK",-0.05010009049,-0.05190035861,-0.05356704461,-0.0553083267,-0.05675274684,-0.05767858798
NA,-0.07383139463,-0.07630296136,-0.078512269,-0.0806342428,-0.08215219142,-0.08285575991
"EGY",-0.1604856601,-0.1656470329,-0.1704033919,-0.175196829,-0.1790041488,-0.1812898438
"EST",-0.00212231159,-0.00202495944,-0.00190439788,-0.00181569367,-0.00178601708,-0.00181129187
"FIN",0.01622885058,0.01634728749,0.01647243065,0.01668396794,0.01693595426,0.01712466994
"FRA",-0.08900710432,-0.09238442487,-0.09562544431,-0.0989411591,-0.1016654016,-0.1034654916
"DEU",-0.07317538699,-0.07580363027,-0.0782745947,-0.08065643681,-0.08256265921,-0.08376660563
"GRC",-0.1132982857,-0.1176023943,-0.1215476221,-0.1253943354,-0.1283696281,-0.1302280468
"HKG",-0.1445867812,-0.1495529592,-0.1542110385,-0.1589689934,-0.1628346815,-0.1653000301
"HUN",-0.08741920493,-0.09027760829,-0.09290479884,-0.09554694891,-0.09762217532,-0.09881357126
"IND",-0.1492417813,-0.1540483357,-0.158413018,-0.1628789246,-0.1663898754,-0.1683223797
"IDN",-0.1375319873,-0.1415986338,-0.1453877285,-0.1492798011,-0.1522824768,-0.1538681242
"IRL",-0.04312437367,-0.04454295267,-0.04591364699,-0.04741756956,-0.04877509607,-0.04979884546
"ITA",-0.1023415094,-0.1056011954,-0.1085632756,-0.1115224466,-0.1138168588,-0.1150898308
"JPN",-0.09958807112,-0.1030063968,-0.1062324542,-0.109448812,-0.1119773466,-0.1134976017
