"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.17375301,-0.1765572332,-0.1799563738,-0.1827528856,-0.184453399,-0.1853887573
"ARG",-0.07775257174,-0.07949156508,-0.08168879279,-0.08358716889,-0.08479844112,-0.08550252043
NA,-0.1255421043,-0.1289478013,-0.1332323348,-0.13707916,-0.139783054,-0.1416108692
"AUS",-0.1458451494,-0.1497104797,-0.154153619,-0.1581023133,-0.161064888,-0.163247306
"AUT",-0.07957278535,-0.08132470002,-0.08358658026,-0.08569086052,-0.08715968933,-0.08807857512
"BEL",-0.06941959228,-0.07177923121,-0.07450142263,-0.07693767507,-0.07880227909,-0.08021843549
"BRA",-0.1626487548,-0.1667322141,-0.1715915257,-0.1758581315,-0.1788280613,-0.1808226651
"BGR",-0.07522328816,-0.0776867469,-0.08074538046,-0.08345405371,-0.08544809504,-0.08690404978
"CAN",-0.00380857793,-0.00216118758,-0.00046689439,0.0012437684,0.00277157917,0.00402094339
"CHL",-0.04525550198,-0.04650788211,-0.04828768561,-0.04991995222,-0.05113409528,-0.05205808149
"CHN",-0.1127312706,-0.1160216152,-0.1198788789,-0.1232124135,-0.125523568,-0.1270696618
"HRV",-0.07709306614,-0.08028727424,-0.08437533742,-0.08821426471,-0.09128493904,-0.09369306373
"CZE",-0.06277487008,-0.06427620196,-0.06624685909,-0.06822211681,-0.0697624816,-0.07086266806
"DNK",-0.05101084852,-0.0523154275,-0.05402392465,-0.05556587029,-0.05659923688,-0.05731739988
NA,-0.05815351034,-0.06037585368,-0.06302008927,-0.06541388941,-0.06725944942,-0.06868807448
"EGY",-0.1510563025,-0.1549312449,-0.1595826882,-0.1635967116,-0.1663574543,-0.1682049174
"EST",0.00251208932,0.00180211087,0.00101611176,0.00032181879,-0.00024300162,-0.00065766681
"FIN",0.00906446368,0.00922737557,0.00942639686,0.0096665903,0.00977999157,0.00970842859
"FRA",-0.09214081454,-0.09514244274,-0.09839518101,-0.1011073133,-0.1029260651,-0.1040288397
"DEU",-0.07318700111,-0.07454260547,-0.07635689656,-0.0779845626,-0.07910432169,-0.07985479698
"GRC",-0.1139102823,-0.1152897821,-0.1174717903,-0.1195244159,-0.1209540386,-0.1219668075
"HKG",-0.1322492138,-0.1369778258,-0.1424805667,-0.1474535194,-0.1512492577,-0.1541791166
"HUN",-0.07393083877,-0.07626505507,-0.07931277701,-0.08209033241,-0.08417834901,-0.08574561094
"IND",-0.1326237735,-0.1360985202,-0.1403925404,-0.1442145121,-0.1468840498,-0.1486997062
"IDN",-0.1239548666,-0.1270632171,-0.1310593137,-0.1345881161,-0.1370452758,-0.1387285993
"IRL",-0.05386724383,-0.05478778335,-0.05584978363,-0.05674650389,-0.05731304294,-0.0576759091
"ITA",-0.09578651288,-0.09804102465,-0.101016758,-0.1037544711,-0.1057652881,-0.1071930173
"JPN",-0.09554775021,-0.09801819396,-0.1009357268,-0.103493858,-0.1052881395,-0.1064645482
NA,-0.1294759983,-0.1328382979,-0.1368289394,-0.140303705,-0.1427630519,-0.1444755566
"LVA",-0.00828090957,-0.00851263862,-0.0089286635,-0.00936457283,-0.00970801301,-0.00999366282
"LTU",-0.01752443504,-0.01825276979,-0.01920207743,-0.02008090332,-0.02080066805,-0.02141873831
"MYS",-0.1314674138,-0.1350740883,-0.1394144336,-0.1432174474,-0.1459119232,-0.1477801616
"MEX",-0.1288819293,-0.1318308471,-0.1355579832,-0.1387998345,-0.1409670591,-0.1423276414
NA,-0.1774232297,-0.18143623,-0.1862028233,-0.1903000222,-0.1930755185,-0.1948610867
"NLD",-0.06292164908,-0.0645262149,-0.06660900526,-0.06848450819,-0.06986509019,-0.07091450238
"NZL",-0.06266522729,-0.06378858445,-0.06532546971,-0.06667419768,-0.06756248886,-0.06815023124
"NOR",-0.00665760581,-0.00678023954,-0.00684586871,-0.00710041477,-0.00728202023,-0.00739579755
"POL",-0.05083141271,-0.05210135047,-0.05382353759,-0.05531283479,-0.05635083027,-0.05710929829
"PRT",-0.1028471756,-0.1054150396,-0.1084579374,-0.1111655939,-0.1130580746,-0.1143187912
"ROU",-0.1021631978,-0.1047538871,-0.1077405318,-0.1102633014,-0.1119774189,-0.1129128408
"RUS",-0.05203646791,-0.05223153299,-0.05220243603,-0.05217042541,-0.05219042864,-0.05225499883
"SGP",-0.1291288002,-0.1342443544,-0.1401352796,-0.1454391948,-0.1495862846,-0.1528828248
"SVK",-0.06282295585,-0.0654415411,-0.06862068116,-0.07135626865,-0.07329110526,-0.07458671157
"SVN",-0.07027468758,-0.07251393043,-0.07537162978,-0.0779797215,-0.07987254834,-0.08124377447
"ZAF",-0.1556132552,-0.1594529516,-0.1642370463,-0.1686196633,-0.1719976778,-0.1746363116
"KOR",-0.07525334654,-0.07751837085,-0.08039150835,-0.08300886879,-0.08494866762,-0.086401976
"ESP",-0.1145760024,-0.1173143476,-0.1206793158,-0.1235340345,-0.1254273176,-0.1266161715
"SWE",-0.02705356618,-0.0277110514,-0.02845377174,-0.02914802817,-0.0297057403,-0.03011528363
"CHE",-0.05822178865,-0.0600408384,-0.06232007481,-0.06460478784,-0.06657358825,-0.06819348675
"TWN",-0.09094404527,-0.093882383,-0.09750576325,-0.1008014684,-0.1032642214,-0.1051118633
"TUR",-0.1021580675,-0.104883918,-0.1082001838,-0.1110848424,-0.1130517844,-0.1143752824
"GBR",-0.05041739872,-0.05172750822,-0.05330274242,-0.05470222249,-0.0556723323,-0.05628100522
"USA",-0.09636070976,-0.09796680648,-0.1000831625,-0.1019521657,-0.103180603,-0.1039349259
"VNM",-0.1373569489,-0.1414660824,-0.1464033049,-0.1507415807,-0.153869679,-0.1561093831
