"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1965725026,-0.1986420784,-0.2000426956,-0.2010320324,-0.201792239,-0.2024752329
"ARG",-0.04719373025,-0.04714935677,-0.04721343719,-0.04721540246,-0.0470869596,-0.04695197479
NA,-0.06962999494,-0.06965728854,-0.07003114638,-0.07041026365,-0.07072380891,-0.07101810433
"AUS",-0.1027042128,-0.1032809269,-0.1041186391,-0.105037087,-0.1058858818,-0.1066946436
"AUT",-0.05750187618,-0.05632698069,-0.05581982168,-0.05605053231,-0.05671252012,-0.05740252388
"BEL",-0.03738166241,-0.03810523655,-0.0391182472,-0.04015444756,-0.04110911731,-0.042041422
"BRA",-0.1297112965,-0.1307370157,-0.1318661206,-0.1329612296,-0.1339072452,-0.1347950338
"BGR",-0.04028685285,-0.04062093547,-0.04228141647,-0.04352231169,-0.04434326534,-0.045120382
"CAN",-0.00069503886,-0.00218371489,-0.00369965066,-0.00527534039,-0.00684803368,-0.00836643923
"CHL",-0.00434007593,-0.00374645154,-0.00359119753,-0.00361822736,-0.00365397193,-0.00368880926
"CHN",-0.0748086962,-0.07478021924,-0.0749306722,-0.07513650852,-0.07530882276,-0.07547345386
"HRV",-0.03716315052,-0.0385236508,-0.04030804396,-0.04211103402,-0.04375464822,-0.04536806763
"CZE",-0.02603231363,-0.02560403745,-0.02574308236,-0.02619439019,-0.02673688399,-0.02727565843
"DNK",-0.03421321034,-0.0343395535,-0.03476047297,-0.03528304958,-0.03570960909,-0.03611522843
NA,-0.01574970965,-0.01451617078,-0.01394968712,-0.01368631074,-0.01349357525,-0.01331045446
"EGY",-0.1179823587,-0.1190938781,-0.1203033883,-0.1215121802,-0.1225972504,-0.1235900379
"EST",0.00672903953,0.00569736576,0.00394974989,0.00256699867,0.00152260687,0.00051705974
"FIN",0.00344326351,0.00279823205,0.00195313138,0.00114479912,0.00042590062,-0.0002717738
"FRA",-0.06334528046,-0.06470459272,-0.0659387515,-0.06694897015,-0.06773764485,-0.06849047006
"DEU",-0.04359001095,-0.04409864238,-0.04473116208,-0.04554194638,-0.04644828292,-0.04734658491
"GRC",-0.05237897491,-0.04929671484,-0.04710636847,-0.04583939272,-0.04513506562,-0.0444963864
"HKG",-0.09328019289,-0.09593040241,-0.09876575404,-0.1016105853,-0.1044280813,-0.1072452426
"HUN",-0.02536687426,-0.02578438084,-0.02677470637,-0.02786381223,-0.02887004556,-0.02985435261
"IND",-0.08930257622,-0.08887251778,-0.08869502329,-0.08858055117,-0.08839095271,-0.08820470509
"IDN",-0.05888444667,-0.05836728048,-0.05845381799,-0.05873037575,-0.05891445991,-0.05908039859
"IRL",-0.04773826172,-0.04793292121,-0.04805467053,-0.04830113352,-0.04867035866,-0.04903736676
"ITA",-0.05783227993,-0.05883716563,-0.059980863,-0.06118505962,-0.06231998607,-0.06342639808
"JPN",-0.03755297421,-0.03791446215,-0.03863744841,-0.03947262893,-0.04024578357,-0.04100216462
NA,-0.1008497259,-0.1020625806,-0.1035285371,-0.105087974,-0.1065305503,-0.1078877455
"LVA",0.00126085297,0.00130835491,0.00095472525,0.00060250503,0.0003196102,4.656312e-05
"LTU",-0.00785869094,-0.00830775641,-0.00925728919,-0.01003317609,-0.01059847562,-0.01114507293
"MYS",-0.05590002132,-0.05604829966,-0.05661238054,-0.05726807198,-0.05786920703,-0.05844658314
"MEX",-0.08337536654,-0.08185551106,-0.0807454419,-0.07996194509,-0.07928176848,-0.07863501009
NA,-0.1631988055,-0.1656749279,-0.1681200897,-0.1707244089,-0.173262025,-0.1756616899
"NLD",-0.03660285006,-0.03740044717,-0.03857205268,-0.03978616132,-0.04091169485,-0.04201002851
"NZL",-0.0239533696,-0.02290143869,-0.02220466759,-0.02169932084,-0.02120569205,-0.02072590395
"NOR",-0.0072672241,-0.00659657426,-0.00589668701,-0.00571615299,-0.00554371843,-0.00536495586
"POL",-0.00715381017,-0.00659098624,-0.00669003341,-0.00718251085,-0.00771098916,-0.00822988126
"PRT",-0.06734655332,-0.06779592437,-0.06844315825,-0.06901795786,-0.06941882932,-0.06979393711
"ROU",-0.06034496642,-0.05966555193,-0.05930580027,-0.05887729695,-0.0582992977,-0.05772598531
"RUS",-0.1167488882,-0.1202773741,-0.1228365165,-0.1251839452,-0.1274828277,-0.1297282344
"SGP",-0.080203952,-0.08403425019,-0.08844333481,-0.09233001489,-0.09577647582,-0.09917075218
"SVK",-0.0406330182,-0.04046290768,-0.04082326047,-0.04106876514,-0.04109827864,-0.0411095221
"SVN",-0.03860324099,-0.03877661954,-0.03931509825,-0.04009669585,-0.04090082574,-0.04169247768
"ZAF",-0.1278934163,-0.1305818353,-0.1332944284,-0.1359166581,-0.1383288858,-0.1405865258
"KOR",-0.03674084122,-0.03648237581,-0.03611266415,-0.03569152083,-0.03528239595,-0.03487921381
"ESP",-0.07741078655,-0.07707925517,-0.07719857618,-0.07760206135,-0.07802059154,-0.07842453102
"SWE",-0.02497094854,-0.02533263377,-0.025573269,-0.02591818461,-0.02630269998,-0.02668013922
"CHE",0.00131308426,0.00214651921,0.00227258307,0.00144887155,5.735177e-05,-0.00136075104
"TWN",-0.04444533746,-0.04462766812,-0.04487619796,-0.04569082515,-0.04696825574,-0.04830278897
"TUR",-0.07497224703,-0.07547484877,-0.0759566166,-0.07628790077,-0.07643535123,-0.07656055457
